price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,description
 2.75 tỷ , 27 m, Phố Chợ Khâm Thiên. Phường Trung Phụng. Quận Đống Đa. Hà Nội,12371032,Đông Nam,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,4,---,---,3,---,"Bán nhà ngõ chợ Khâm Thiên, Đống Đa, 24m², 3 ngủ, gần phố, sổ đỏ chính chủ 
+ Cần bán nhà ở ngõ chợ Khâm Thiên, trung tâm Đống Đa, 4 tầng, 3 ngủ, 24m², nhà còn mới ở sướng.
+ Vị trí đẹp giáp phố 1 bước ra chợ, mua sắm không thiếu thứ gì, Khu vực trung tâm giá cả tăng cao từng giờ từng ngày.
+ T1 để xe + phòng khách, bếp. 1 vs
+ T2 : 2 phòng , 2 vs
+ T3 : 1 phòng ,  1 vs
+ T4 phòng thờ + sân phơi.
Chủ nhà chuyển nhà to hơn nên bán nhanh 
giá 2,Xx tỷ thương lượng."
 2.45 tỷ , 70 m, 19 Phố Hoàng Ngọc Phách. Phường Láng Hạ. Quận Đống Đa. Hà Nội,12370995,Tây Bắc,,Cần bán,8m,,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,---,2,,---,2,---,"Bán nhà Tầng 2 tập thể C9 Hoàng Ngọc Phách, Nam Thành Công, Đống Đa - Hà Nội
+ Sổ đỏ: 48.8m2
+ DT thực tế: 70m2
+ 2 PN riêng biệt, bếp, khách, VS
SIÊU HIẾM KHU NAM THÀNH CÔNG- NHÀ ĐẸP Ở LUÔN
- khu vực trung tâm, đầy đủ tiện ích, phân khúc siêu hiếm, tầng 2 diện tích sổ to
- Nhà phòng nào cũng tràn ngập ánh sáng, không khí trong lành, an sinh tuyệt vời
- căn hộ đã sửa đẹp long lanh sẵn ở
- Diện tích sổ 48.8m thực 70m thiết kế 2 phòng ngủ riêng biệt, phòng khách, bếp và vệ sinh
Giá bán : 2.45 tỷ"
 500 triệu / m, 210 m, Đường Võ Chí Công. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,12352783,_,---,Cần bán,50m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,10m,---,---,21m,---,---,"MẢNH ĐẤT VÀNG MP VÕ CHÍ CÔNG - VUÔNG VẮN NỞ HẬU 10CM- SẴN GPXD 9 TẦNG - TƯƠNG LAI GẦN RA LÔ GÓC 2 MẶT PHỐ. 
- Diện tích 202m vuông vắn , mặt tiền 10m , nở hậu 10 cm siêu đẹp, vị trí quá đẹp nằm tại mặt đường lớn tương lai ra lô góc 2 mặt phố kết nối với khu Starlake cao cấp , khi đó mặt tiền lên tới 30m
- Mảnh đất phù hợp xây biệt thự,  toà vp, showroom ,  khách sạn, ..... Hàng xóm bên cạnh vừa xây toà vp 10 tầng kinh doanh sầm uất.
- Pháp lý 2 sổ đỏ vuông vắn sẵn sàng lên đường và đặc biệt chủ đất đã xin sẵn GPXD 9 tầng + 1 hầm."
 3.05 tỷ , 35 m, Đường Cổ Linh. Phường Long Biên. Quận Long Biên. Hà Nội,12365226,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,7m",5,---,9m,3,---,"+ Bán nhà  LÔ GÓC - DT 35M x  5 tầng đối diện Aeon Long Biên 3,05 tỷ. đối diện aeon long biên.
+ Mặt tiền 3,7 mét vuông vắn.
+ Căn nhà 2 mặt thoáng, phía trước là ngõ 3 mét sau nhà có đất lưu không mở đường 13 mét.
+ Gía bán 3,05 tỷ bao sang tên.
+ Hổ trợ ngân hàng vay 70%.
+ Nhà Xây KCBT chắc chắn thoáng trước phía sau nhà có khe thoáng sau mở đường 13 mét.
+ Sổ sách pháp lý rõ ràng, cách aeon long biên cách trường tiểu học đoàn 200 mét."
 41 tỷ , 320 m, Đường Giải Phóng. Phường Thịnh Liệt. Quận Hoàng Mai. Hà Nội,12365298,_,,Cần bán,50m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,10m,9,,30m,50,---,"Chính chủ GIẢM CHÀO 5 tỷ LÔ GÓC mặt phố Giải Phóng, Hoàng Mai:
+ Trục hướng tâm độc nhất ba phút ra đại học Kinh tế, Xây dựng, Bách khoa,... Viện Bạch Mai, Lão Khoa,... Ba bước ra hồ Linh Đàm độc hiếm, lô góc 2 mặt tiền, ba mặt thoáng, vỉa hè ô tô dừng đỗ, kinh doanh mọi loại hình: Văn phòng, Showroom, Thẩm mỹ viện, SPa...
+ Diện tích 3220m², mặt tiền 10m, 2 mặt tiền, 3 mặt thoáng phù hợp tòa nhà 1 hầm 9 nổi dòng tiền 8tỷ/năm.
+ Sổ đỏ vuông đẹp, pháp lý sạch, giao dịch ngay. Mặt phố - vỉa hè - lô góc giá 130tr/m² có thương lượng.
Liên hệ tôi Thiêm làm việc chính chủ, miễn trung gian, môi giới."
 4 tỷ , 37 m, số 18 ngõ 345/69 Đường Khương Trung. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,12355166,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,---,"9,3m",3,---,"Chính chủ bán nhà số 18 ngõ 345/69 phố Khương Trung - Thanh Xuân, ngõ thông cách ô tô chỉ 50m, gần chợ, trường tiểu học, trung học Khương Đình gần nhà, chỉ cách Ngã Tư Sở chưa đầy 1Km, khu vực quá trung tâm giao thông di chuyển rất thuận lợi.
* Thông số chi tiết * 
- Diện tích sổ đỏ: 37m² * 5 tầng xây mới (pháp lý sổ đỏ, giấy phép xây dựng đầy đủ).
- MT: 4m (sổ vuông).
- Tầng 1: Khách + bếp + để xe.
- Tầng 2 + 3 + 4: Thiết kế mỗi tầng 01 phòng ngủ to và WC khép kín (03 phòng ngủ).
- Tầng 5: Phòng thờ + sân chơi...
- Ngõ trước nhà xe ba gác tránh xe máy, ngõ thông chỉ cách ô tô 50m.
- Nhà xây mới, mặt tiền rộng, thiết kế theo phong cách hiện đại vô cùng đẹp và hợp lý về công năng sử dụng.
- Vị trí nhà nằm gần Ngã Tư Sở, gần trung tâm thương mại Royal City, bán kính chưa đầy 2km là các trường đại học lớn và bệnh viện, trường tiểu học và trung học cơ sở Khương Đình nằm sát nhà vô cùng thuận tiện đưa đón con đi học, địa điểm gửi ô tô gần nhà...
- Ngõ 345 Khương Trung là ngõ chợ sầm uất, có quy hoạch thành trung tâm thương mại và khu vui chơi, bãi đỗ xe ô tô nên tương lai rất thuận tiện và sầm uất...
- Sổ đỏ: Cất két, hình ảnh chuẩn nhà tôi.
- Giá bán: 4,3 tỷ (thương lượng)."
 9 tỷ , 60 m, Đường Hoàng Liệt. Phường Hoàng Liệt. Quận Hoàng Mai. Hà Nội,12352127,_,---,Cần bán,20m,---,"Biệt thự, nhà liền kề",---,---,5m,5,---,12m,5,---,"Nhà đẹp, Phân Lô KĐT Tây Nam Hồ Linh Đàm, Q. Hoàng Mai, 60m, 4 tầng, Mt 5 m, Giá nhỉnh 9 tỷ. 

🌷🌷GIÁ HỢP LÝ - VỈA HÈ - Ô TÔ TRÁNH - TIỆN ÍCH KĐTM TÂY NAM HỒ LINH ĐÀM - SÁT TRƯỜNG HỌC - KHU VỰC PHÁT TRIỂN TỪNG NGÀY.🌷🌷

+ Nằm vị trí đẹp, thuộc KĐT mới Tây Nam Hồ Linh Đàm, nhà xây mới đc 1 năm. Vài bước chân ra hồ Linh Đàm lộng gió.

+ Nhà hiện trạng 4 tầng, khách mua về chỉ việc ở, chủ thiết kế thông sàn, khách mua về ngăn phòng tuỳ ý theo mục đích sử dụng. 

+ Sổ đỏ chính chủ, chủ cất két, sẵn sàng giao dịch."
 9 tỷ , 60 m, Đường Hoàng Liệt. Phường Hoàng Liệt. Quận Hoàng Mai. Hà Nội,12352094,_,---,Cần bán,20m,---,"Biệt thự, nhà liền kề",---,---,5m,5,---,12m,5,---,"🌟🌟🌟Rẻ nhất KĐT Linh Đàm🌟🌟🌟

Nhà đẹp, Phân Lô KĐT Tây Nam Hồ Linh Đàm, Q. Hoàng Mai, 60m, 4 tầng, Mt 5 m, Giá nhỉnh 9 tỷ. 

🌷🌷GIÁ HỢP LÝ - VỈA HÈ - Ô TÔ TRÁNH - TIỆN ÍCH KĐTM TÂY NAM HỒ LINH ĐÀM - SÁT TRƯỜNG HỌC - KHU VỰC PHÁT TRIỂN TỪNG NGÀY.🌷🌷

+ Nằm vị trí đẹp, thuộc KĐT mới Tây Nam Hồ Linh Đàm, nhà xây mới đc 1 năm. Vài bước chân ra hồ Linh Đàm lộng gió.

+ Nhà hiện trạng 4 tầng, khách mua về chỉ việc ở, chủ thiết kế thông sàn, khách mua về ngăn phòng tuỳ ý theo mục đích sử dụng. 

+ Sổ đỏ chính chủ, chủ cất két, sẵn sàng giao dịch."
 9 tỷ , 60 m, Đường Hoàng Liệt. Phường Hoàng Liệt. Quận Hoàng Mai. Hà Nội,12351362,_,---,Cần bán,20m,---,"Biệt thự, nhà liền kề",---,---,5m,5,---,12m,5,---,"Nhà đẹp, Phân Lô KĐT Tây Nam Hồ Linh Đàm, Q. Hoàng Mai, 60m, 4 tầng, Mt 5 m, Giá nhỉnh 9 tỷ. 

🌷🌷GIÁ HỢP LÝ - VỈA HÈ - Ô TÔ TRÁNH - TIỆN ÍCH KĐTM TÂY NAM HỒ LINH ĐÀM - SÁT TRƯỜNG HỌC - KHU VỰC PHÁT TRIỂN TỪNG NGÀY.🌷🌷

+ Nằm vị trí đẹp, thuộc KĐT mới Tây Nam Hồ Linh Đàm, nhà xây mới đc 1 năm. Vài bước chân ra hồ Linh Đàm lộng gió.

+ Nhà hiện trạng 4 tầng, khách mua về chỉ việc ở, chủ thiết kế thông sàn, khách mua về ngăn phòng tuỳ ý theo mục đích"
 9 tỷ , 60 m, Đường Hoàng Liệt. Phường Hoàng Liệt. Quận Hoàng Mai. Hà Nội,12351324,_,---,Cần bán,20m,---,"Biệt thự, nhà liền kề",---,---,5m,5,---,12m,5,---,"🌟🌟🌟Rẻ nhất KĐT Linh Đàm🌟🌟🌟

Nhà đẹp, Phân Lô KĐT Tây Nam Hồ Linh Đàm, Q. Hoàng Mai, 60m, 4 tầng, Mt 5 m, Giá nhỉnh 9 tỷ. 

🌷🌷GIÁ HỢP LÝ - VỈA HÈ - Ô TÔ TRÁNH - TIỆN ÍCH KĐTM TÂY NAM HỒ LINH ĐÀM - SÁT TRƯỜNG HỌC - KHU VỰC PHÁT TRIỂN TỪNG NGÀY.🌷🌷

+ Nằm vị trí đẹp, thuộc KĐT mới Tây Nam Hồ Linh Đàm, nhà xây mới đc 1 năm. Vài bước chân ra hồ Linh Đàm lộng gió.

+ Nhà hiện trạng 4 tầng, khách mua về chỉ việc ở, chủ thiết kế thông sàn, khách mua về ngăn phòng tuỳ ý theo mục đích sử dụng. 

+ Sổ đỏ chính chủ, chủ cất két, sẵn sàng giao dịch."
