address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Nội thất,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
+ Thời điểm giá tốt nên tranh thủ mua ngay - Đến khi thị trường lên giá lại tranh nhau mua giá cao mà để mua được căn ưng ý lại rất khó.+ Đang gấp rút hạ ngầm đường điện cao thế tại khu A và khu B để khẩn trương thông đường. Một tương lai tươi đẹp cho BĐS Geleximco.+ Em Biển - An Khánh Land C7 ô số 18 giới thiệu với toàn thể quí khách hàng 10 biệt thự liền kề Geleximco - hàng tuyển - giá đang rẻ nhất thị trường thời điểm hiện tại.1. Nhà vườn 120m² mặt tiền 6m khu D. Giá bán nhanh 9.2 tỷ.2. D10 NV 114m² mặt tiền 6m, hướng tây tứ trạch. Giá bán nhanh 9 tỷ.3. LK 80m² khu C, hướng tây tứ trạch. Giá bán nhanh 8.6 tỷ.4. C9 LK 95m hướng Đông Nam, sổ đỏ, giá 11 tỷ - C14 LK 100m² hướng Tây Bắc, giá 10.x tỷ (vị trí đẹp, cách Aeon Mall Hà Đông chỉ 250m).5. LK 75m² khu B giáp Vin giá chỉ còn 7 tỷ cả nhà và đất.6. B8 diện tích 90m² mặt tiền 6m, cặp kè Vin, nhà đẹp không lỗi phong thủy. Giá bán nhanh chỉ 8.x tỷ (cam kết rẻ nhất dạng căn 90m²).7. B28 LK 100m² nhà mái cao, không một lỗi nhỏ, hướng đông, sổ đỏ. Giá 9 tỷ.8. A24 NV 120m² hướng Đông Nam, nhà đẹp không một lỗi nhỏ. Giá bán nhanh chỉ 11.xxx tỷ.9. A42 góc 120m², nhà đẹp không lỗi phong thủy. Giá chỉ 12.x tỷ.10. A33 Đông Nam, diện tích 114m², mặt tiền 6m. Giá chỉ còn 11.xxx tỷ.+ Liên hệ ngay em Biển: 0915 301 *** để được tư vấn tốt nhất và gặp chủ nhà làm việc trực tiếp.            ",100 m²,Thỏa thuận,,,,,24/11/2022,04/12/2022,Tin Vip đặc biệt,35937639,batdongsan_com_vn_35937639,,,Sổ đỏ.,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ gửi bán cắt lỗ căn hộ 2N 2WC giá chỉ 1.8xx tỉ Tầng trungCăn hộ có 2 phòng ngủ, 2 phòng tắm. Đã có nội thất cơ bản. gồm tủ bếp, giường tủĐã có sổ đỏ. Anh chị quan tâm liên hệ xem nhà: Ms. Phương 0702 488 ***Ngoài ra, bên em có quỹ căn cập nhật giá tốt tại dự án Vinhomes Ocean Park.(mua trực tiếp từ CĐT và nguồn chuyển nhượng từ chủ nhà) gồm:* Căn Studio DT từ 28 - 36m², nhận nhà ngay giá chỉ từ 900 triệu.* Căn 1PN + 1: DT 48m², nhận nhà ngay từ 1.25 tỷ.* Căn 2PN + 1, 1WC đa năng: DT thông thủy 55 m², đã có sổ và nhận nhà ngay giá từ 1.53 tỷ.* Căn 2PN + 1 2WC: DT thông thủy 62 m², đã có sổ và nhận nhà ngay giá từ 1.8 tỷ.* Căn 3PN, 2WC: DT thông thủy 75 m² đã có sổ và nhận nhà ngay giá từ 2.29 tỷ.Cam kết giá tốt nhất thị trường. Nhận nhà ở ngay.Xem nhà trực tiếp.Hỗ trợ thủ tục chuyên nghiệp, tận tâm.Ngoài ra, bên em còn có quỹ căn mua mới trực tiếp từ CĐT với chính sách hấp dẫn phù hợp với gia đình trẻ có nhu cầu vay mua nhà:Căn hộ bán mới phân khu The Zenpark cao cấp bàn giao ngay, phân khu Pavilion (dự kiến bàn giao Q1/2024).- Chiết khấu tới 18,5%.- Hỗ trợ vay vốn ngân hàng 80%.- Hỗ trợ lãi suất 0% trong 18 tháng.- Nhận nhà ở ngay.- Chỉ cần bỏ vốn hơn 300tr nhận nhà ở ngay.Quý khách hàng quan tâm đến căn hộ vui lòng liên hệ em Phương phòng Kinh doanh để được tư vấn chi tiết: 0702 488 *** (Ms. Phương).            ",63 m²,1.8 tỷ,,,2 phòng,1 phòng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35734337,batdongsan_com_vn_35734337,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Sàn BĐS Vinhomes xin gửi tới quý khách bảng giá bán căn hộ chung cư Times City các căn giá rẻ cắt lỗ từ 100tr - 500tr/căn.Kính gửi tới quý khách thông tin liên quan đến căn hộ đang bán tại Vinhomes Times city.City như sau:Hotline: 0847 589 *** (24/24).* Bên khu Times:Căn 53m² tòa T8, T9, T11 giá 2,5 - 2.47tỷ bao phí tùy tầng hướng.Căn 75m² tòa T1, 4, 5, 6, 7 giá 3,5- 3.7 tỷ bao phí.Căn 87m² căn hoa hậu tòa T5, 6, 7, giá 4 - 4,2tỷ bao phí tùy tầng hướng.Căn 90m², tầng trung, tòa T4, 5, 6, 7, giá 4 - 4,2 tỷ bao phí, full đồ.Căn 94.4m², tầng trung, tòa T1, giá 4,5-4.6 tỷ, bao phí, gần như full đồ.Căn 109m², tầng đẹp, tòa T3, giá 5 - 5,2 tỷ bao phí, full nội thất đẹp.Căn góc 97,5m², view nhạc nước, giá chỉ 4.8 tỷ bao phí, nhà mới.Căn góc 3 phòng ngủ, 110m², giá 5,3 - 5,5 tỷ bao phí.Căn 3 phòng ngủ, tòa T11, tầng trung, giá 5,4 tỷ bao phí.Căn 95m², giá 4,2 - 4,4 tỷ bao phí.Căn 118m², tòa T2, 3, giá 5,3-5,4 tỷ bao phí.Căn hoa hậu 94,3m², giá 4,7-4,8 tỷ bao phí.Căn 84m², tầng trung, ban công Nam, tòa T11, giá 3,8-4tỷ bao phí.Căn 83m², tòa T8, 9, giá 3.5 - 3,7 tỷ bao phí tùy tầng hướng.* Bên khu Park Hill:Căn góc tòa Park 3 56m² giá 3 tỷ BP full đồ.Căn 53m² tòa Park 5 giá 2.9 tỷ bao phí.Căn góc tòa Park 1 125m² giá 6,8 tỷ bao phí.Căn 70m², view quảng trường Park Hill, giá 3,8 tỷ bao phí.Căn 84m², tòa P1, giá 4,3 tỷ bao phí.Căn 80,1m², tòa Park 7, giá 4,2 tỷ bao phí.Căn 3 phòng ngủ hoa hậu 128, tầng trung, tòa P3, giá 8,2 tỷ bao phí.Căn góc Đông Nam 3 phòng ngủ, tòa P5, giá 5,8 tỷ bao phí.Căn góc 115m² Park 6, giá 6,2 - 6,3 tỷ bao phí.Căn góc 128m², view đẹp, giá 7.5 - 7.8 tỷ bao phí.Căn 115m², view và thiết kế siêu đẹp, tòa P7, giá 6,8 tỷ.Căn góc Đông Nam 4 phòng ngủ, tòa P7, tầng đẹp, giá 8,5 tỷ bao phí.* Bên khu Park Premium:Căn 57m², tòa P12, 01N 2,9-3 tỷ bao phí full đồ.Căn 68m², có 10 năm miễn dịch vụ, giá 4 tỷ bao phí.Căn 79m², tòa P12, giá 4,4-4,5 tỷ bao phí.Căn 3 phòng ngủ, 118,5m², full đồ đẹp, tòa P12, giá 6, 85 tỷ bao phí.Căn góc Đông Nam 120m² tòa Park 9, giá 7,5 tỷ bao phí, full đồ đẹp.Căn 75m², view nhạc nước, tòa P9, giá 4,3 tỷ bao phí.Căn 79m², tòa P10, view nhạc nước, giá 4,5 tỷ bao phí.Căn 118,5m², tòa P11, giá 6,2-6,5 tỷ bao phí.Ngoài ra chúng tôi còn rất nhiều căn chủ nhà gửi bán cắt lỗ sâu.* Ưu đãi và chăm sóc:- Miễn phí 100% phí cho khách mua nhà.- Miễn phí dịch vụ quản lý 10 năm (tùy từng căn hộ).- Hỗ trợ tư vấn pháp lý và thủ tục trong suốt quá trình mua bán sang tên.- Tất cả giao dịch được ghi trên giấy tờ, hợp đồng minh bạch đảm bảo quyền lợi công bằng cho hai bên.* Cam kết:- Thực hiện các giao dịch của mình với tất cả uy tín, trách nhiệm.- Thủ tục nhanh gọn, hiệu quả và minh bạch.- Hỗ trợ mọi thủ tục liên quan để hoàn tất việc sang tên.* Liên hệ để được tư vấn và xem căn hộ: Hotline 0847 589 ***.Http: Vinhomes - timescityparkhill.com.vn.Email: Hotro. Vinhomes. Vingroup@gmail.com.vn.            ",100 m²,4.5 tỷ,Tây,Đông - Nam,3 phòng,2 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,32886323,batdongsan_com_vn_32886323,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
Tôi cần bán gấp căn hộ Melody Linh Đàm.* Căn 2 phòng ngủ:+ Căn hộ gồm: Phòng khách, bếp, 2 PN, 2 WC, 2 ban công logia.+ Diện tích: 68 - 74 - 75 - 87 - 89 m².- Căn 68m² ban công Đông Nam. Giá chỉ 2 tỷ/căn.- Căn 74m² ban công Đông Nam, view hồ. Chỉ 2,1 tỷ/căn.- Căn 87, 89m².LH: 0336 056 **** Căn 3 phòng ngủ:+ Căn hộ gồm: Phòng khách, bếp, 3 PN, 2 WC, 2 ban công logia.+ Diện tích: 94m² - 97m² - 101m² - 128m² - 145 m².- Căn 94m²: 3 PN, 2 WC ban công Đông Nam, Tây Nam, view khuôn viên. Giá 2,7 tỷ/căn.- Căn 100m²: 106m², 3PN, 2 WC ban công Đông Nam, Đông Bắc, view khuôn viên bể bơi. Giá 2,9 tỷ/căn.- Căn 120m²: 3PN 2 WC, ban công Đông Nam, Đông Bắc view hồ, tầng 15 - 20. Giá chỉ 3,8 tỷ/căn.- Căn 128 - 145m²: 3PN, 2 WC ban công Đông Nam, tầng 15 - 20. Gía chỉ 4,2 tỷ/căn.LH: 0336 056 **** Shophouse chân đế 2 tầng sở hữu lâu dài giá chỉ từ 40triệu/m².* Chính sách bán hàng:- Chiết khấu 7% giá trị căn hộ cho khách hàng không vay ngân hàng.- Thanh toán sớm: Chiết khấu tới 35%/năm trên số tiền thanh toán sớm.- Giảm 50% phí dịch vụ trong 2 năm.- Ngân hàng hỗ trợ vay, ân hạn gốc và lãi suất 0% trong 24 tháng.LH: 0336 056 ***Tên dự án: Hanoi Melody Residences.Vị trí: Khu đô thị Tây Nam Linh Đàm, Hoàng Mai, Hà Nội.HaNoi Melody Linh Đàm là tổ hợp thương mại và căn hộ cao cấp nhất KĐT Linh Đàm do tập đoàn Hưng Thịnh làm chủ đầu tư.Hà Nội Melody Linh Đàm gồm 4 tòa chung cư cao 29 tầng được thiết kế hiện đại và tinh tế với hơn 2000 căn hộ cao cấp.* Tiện ích nội khu chuẩn quốc tế:Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em.Khu TDTT (tennis, bóng rổ, bơi... ).Khu BBQ ngoài trời.Khu TTTM, nhà trẻ, gym, spa...Phòng lánh nạn, an ninh đảm bảo 24/7...Liên hệ tôi ngay để lấy được căn đẹp chiết khấu cao.Hotline: 0336 056 *** ",79 m²,2.5 tỷ,,,2 phòng,2 phòng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35891116,batdongsan_com_vn_35891116,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Masteri West Heights']","
Căn sudio 01 view Panorama cực chất giá chỉ từ 1,4 tỷ - Chỉ còn 2 căn!Quỹ căn đẹp nhất view hồ, view công viên trung tâm, view Panorama cực chất giá tốt nhất thị trường.Tổng hợp quỹ căn ẩn tòa A, tòa D, các căn trên bảng hàng đã hết chúng tôi đều có, LH ngay:Hotline: 0969 132 ***Chính sách bán hàng khủng:- Thanh toán 10% ký ngay HĐMB.- Chiết khấu 8.1% khi thanh toán chuẩn.- Chiết khấu tới 15% khi thanh toán sớm.- Hỗ trợ vay tối đa 80% GTCH.- Lãi suất 0% trong 24 tháng.- Ân hạn nợ gốc trong thời gian hỗ trợ lãi suất.- Miễn phí trả nợ trước hạn trong thời gian HTLS.- Miễn phí quản lý dịch vụ 36 tháng.- Tặng trực tiếp tiền mặt 35 - 70 triệu/căn.- Tặng gói bảo hiểm theo chính sách của Techcombank.Masteri West Height - chuẩn mực sống quốc tế mới tại hà nội.* Vị trí đẹp nhất khu đô thị.- Vị trí trung tâm KĐT Vinhomes Smart City, hưởng trọn view công viên hồ 4,8ha.- Kết nối dễ dàng với các tuyến đường huyết mạch Lê Trọng Tấn, Đại lộ Thăng Long.- Nằm trong lòng bộ 3 tam giác vàng Metro 5, 6, 7.* Tiện ích cao cấp, khẳng định vị thế.- Gồm 22 tiện ích độc quyền, 4 bể bơi vô cực panorama trên nóc 4 tòa nhà, rạp chiếu phim, phòng lọc không khí tươi.- Sử dụng full tiện ích độc quyền tại công viên 14ha tại khu đô thị trung tâm.- Bàn giao full nội thất liền tường nhập khẩu cao cấp.- Đặc biệt: Phân khu duy nhất có 2 tầng hầm đảm bảo chỗ gửi xe cho cư dân.Liên hệ nhận bảng giá và thông tin chi tiết: 0969 132 *** ",26 m²,1.4 tỷ,,,1 phòng,,19/11/2022,29/11/2022,Tin Vip đặc biệt,35648724,batdongsan_com_vn_35648724,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Dự án Westpoint - Nam đường 32']","
Do nhu cầu tài chính tôi có nhu cầu bán nhanh căn nhà (Hiện tại gia đình đang sử dụng) tại khu đô thị Nam 32, thị trấn Trạm Trôi, Hoài Đức, Hà Nội.4 tầng lô góc 95m² 3 phòng ngủ rộng thoáng gara ô tô trong nhà chất lượng sống đẳng cấp! Đặc điểm nhà:+ Tổng thể: Nhà xây 4 tầng, kết cấu bê tông cốt thép vững chắc. Lô góc 2 mặt thoáng vĩnh viễn, các phòng tràn ngập ánh sáng tự nhiên và gió trời thoáng mát.+ Thiết kế: Tầng 1 để xe, sân vườn, phòng Khách, nhà vệ sinh, sinh hoạt thoải mái. Tầng 2 gồm có phòng ăn, WC, 1 phòng ngủ. Tầng 3 gồm 2 phòng ngủ + WC. Tầng 4 phòng thờ, sân phơi. Nội thất đẹp, đẳng cấp châu âu, đầy đủ trần thạch cao, đèn Dowline, điều hòa Daikin, bếp Kefler, thiết bị nhà tắm nhà vệ sinh Inax cao cấp.+ Vị trí: Gần ngay Chợ, Hồ điều hoà, trường học, đặc biệt gần ngay Quận Uỷ. Đường ô tô, thông các trục đường lớn như: Quốc lộ 32, đường tỉnh 422 hay trước nhà là dự án đường 30m. Thuận tiện đi lại vì cách Mỹ ĐÌnh 15 phút, cách đường vành đai 3,5 - vành đai 4 chỉ 2 phút. Vị trí đắc địa, gần hồ điều hòa, mật độ cây xanh lớn giúp việc đi bộ thể dục, không khí điều hòa. Xung quanh gần bệnh viện, văn phòng, trung tâm Thương Mại. Khu vực đẳng cấp, đáng sống, dân cư dân trí cao, an ninh tốt bảo vệ 24/7.+ Pháp lý: Hợp đồng mua bán chính chủ (95%). Sẵn có chờ mua bán. Chủ nhà cần bán nhanh mua nhà kinh doanh trên mặt phố. Giá bán chỉ hơn 8 tỷ có thương lượng cho khách thiện chí mua bán nhanh.Xem nhà và liên hệ em Hải - Nam 32 theo số 0976 553 ***FB, Zalo, Viber, SMS 24/7 và luôn luôn miễn phí).            ",95 m²,8.15 tỷ,,,3 phòng,3 phòng,23/11/2022,03/12/2022,Tin Vip đặc biệt,35934186,batdongsan_com_vn_35934186,10 m,4 tầng,Hợp đồng mua bán,Cơ bản,8 m
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Em Dược 0984 159 *** xin gửi tới quý khách hàng quỹ căn hot Đông Nam view hồ, view đại học VinUni KĐT Vinhomes Ocean Park.* Quỹ căn 2PN.1. L26xx11: View trực diện hồ điều hòa 24,5ha.- Diện tích sử dụng: 63,23 m².- Hướng BC: Đông Nam.- Thiết kế: 2PN, 2 VS.- Hỗ trợ vay 80% miễn gốc lãi trong 24T.2. T30. Xx19: View hồ điều hòa 24,5ha.- Diện tích sử dụng: 59,56m².- Hướng BC: Đông Bắc.- Thiết kế: 2PN, 2 VS.- Hỗ trợ vay 80% miễn gốc lãi trong 24T.3. L26. Xx16: View Đại học Vin Uni.- Diện tích sử dụng: 54,59m².- Hướng BC: Tây Bắc.- Thiết kế: 2PN, 2VS.- Hỗ trợ vay 80% miễn gốc lãi trong 24T.4. Căn R1.05xx11: View nội khu.- Diện tích sử dụng: 67,2 m².- Hướng BC: Tây Nam.- Thiết kế: 2PN, 2VS:- Giá gốc 3,4 tỷ, giá thanh toán sớm 2.79 tỷ.* Quỹ căn 1PN + 1.1. L26. Xx12A: View Đại học Vin Uni.- Diện tích sử dụng: 42,77 m².- Hướng BC: Tây Bắc.- Thiết kế: 1PN, 1 VS.- Hỗ trợ vay 80% miễn gốc lãi trong 24T.2. L26. Xx15A: View Đại học Vin Uni.- Diện tích sử dụng: 42,02 m².- Hướng BC: Tây Bắc.- Thiết kế: 1PN, 1 VS.- Hỗ trợ vay 80% miễn gốc lãi trong 24T.3. R1.05xx10.- Ban công Tây Nam, view nội khu mát mẻ quanh năm.- DT sử dụng: 48,7 m.- Giá gốc CĐT chưa chiết khấu: 2,557 tỷ.- Giá sau chiết khấu TTS: 1,95 tỷ.* Quỹ căn 3PN view hồ, đại học VinUni.- Diện tích sử dụng: 74,93 m².- Hướng BC: Tây Bắc, ĐN.- Thiết kế: 2PN, 2VS.- Giá thanh toán sớm: 4,679 tỷ, hỗ trợ vay 80% miễn gốc lãi 24T.Quý Anh Chị có nhu cầu đi tham quan nhà mẫu và trực tiếp căn hộ xin vui lòng liên hệ với em Dược 0984 159 ***.* Ngoài ra, CĐT đang có chương trình trải nghiệm cắm trại và thưởng thức BBQ ven hồ. Chỉ cần nhấc máy lên gọi em Dược 0984 159 *** là sẽ có ngay vé trải nghiệm ạ.            ",67.2 m²,42 triệu/m²,,,2 phòng,2 phòng,23/11/2022,03/12/2022,Tin Vip đặc biệt,35934024,batdongsan_com_vn_35934024,,,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội.', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', '16', 'Diamond Park Plaza']","
Bán căn hộ 3PN BRG Grand Plaza 16 Láng Hạ. Bàn giao quý 4/2022.Căn 3PN diện tích 125m² giá 10,6 tỷ. (Gồm VAT và KPBT) View trọn hồ Thành Công. Trần cao 3,5m, bàn giao full nội thất liền tường.Dự án nằm ngay hồ Thành Công 6.4ha mà không bị che chắn bởi bất kỳ tòa nhà nào.- Căn 2PN, 3 mặt thoáng diện tích 82m² BRG 16 Láng Hạ, view hồ Thành Công, giá 7.5 tỷ.- Ngoài ra còn căn 1PN DT 56m² giá 4,7 tỷ.- Với thiết kế trần cao 3.6m giúp cho căn hộ cực kì thoáng sáng, phòng nào cũng đón ánh sáng tự nhiên.- Phòng bếp có lô gia tránh mùi thức ăn trong nhà, khu giặt và phơi đồ kín đáo, riêng tư, chỗ đặt cục nóng điều hòa riêng không làm mất diện tích của ban công phòng khách. Bàn giao full nội thất cao cấp, ký trực tiếp CĐT.- Tiện ích đầy đủ như phòng tập Gym, Spa, trung tâm thương mại, sinh hoạt cộng đồng, văn phòng, family lounge...Liên hệ E. Hoàng nhận bảng giá và xem căn hộ thực tế: 0839 454 ***.1/ Chính sách cực kỳ hấp dẫn:- Miễn phí dịch vụ 12 tháng.- Miễn phí dịch vụ Valet Parking 12 tháng.- Chiết khấu từ 5% GTCH.- Hỗ trợ lãi suất 0% trong 12 tháng.- Tặng gói nội thất tân gia trị giá 380 triệu.- Tặng ngay 300tr cho căn 3Pn.2/ Tổng quan về dự án:- Tên dự án: Chung cư BRG Grand Plaza.- Địa chỉ: 16 Láng Hạ, Ba Đình, Hà Nội.- Chủ đầu tư: Công ty TNHH đầu tư và phát triển Phương Đông - tập đoàn BRG.- Đơn vị thiết kế: Công ty P&T consultants PTE ltd (Singapore).- Diện tích 8.152m, 4 tầng hầm, 18 tầng căn hộ, tầng mái là phòng gym, phòng đa năng và khu vực tiện ích phục vụ cư dân.* Quy mô dự án gồm:+ 01 tòa căn hộ cao cấp cao 19 tầng ở từ tầng 1 đến tầng 19.+ 03 căn biệt thự hạng sang.- Số tầng hầm: 4 hầm.- Số chỗ để xe máy: 2.147 xe.- Số chỗ để ô tô: 282 xe.- Tiêu chuẩn bàn giao: Nội thất liền tường cao cấp.- Tiện ích: Gym, thương mại, sinh hoạt cộng đồng, phòng chơi bi - a, family lounge, văn phòng, cafe ngoài trời...3/ Ưu điểm dự án.- Chung cư 16 Láng Hạ là chung cư cao cấp nằm tại trung tâm thành phố Hà Nội, mảnh đất vàng của thủ đô.- Vị trí vô cùng thuận lợi khi được nằm gần rất nhiều địa điểm lớn của thành phố như: Rạp chiếu phim quốc gia, siêu thị FiviMart, chợ Láng Hạ, triển lãm Giảng Võ, siêu thị Big C cùng nhiều trường học, bệnh viện và trung tâm thương mại đáp ứng mọi nhu cầu thiết yếu cho các hộ gia đình.- Nằm trên khu đất vàng thành phố, chung cư 16 láng hạ là một trong số ít khu căn hộ hạng sang đầu tiên có giếng trời thông tầng và căn hộ có sân vườn riêng tại vị trí thủ đô Hà Nội.- Với các tiện ích đạt tiêu chuẩn Quốc tế, chung cư Dimond Park Plaza sẽ là không gian sống lý tưởng, mang tới cho cư dân một phong cách sống đẳng cấp giữa trung tâm thành phố nhộn nhịp và hiện đại.Liên hệ văn phòng bán hàng để xem căn hộ thực tế: 0839 454 ***.            ",125 m²,10.6 tỷ,,Đông - Bắc,3 phòng,2 phòng,23/11/2022,03/12/2022,Tin Vip đặc biệt,35933829,batdongsan_com_vn_35933829,,,Sổ đỏ/ Sổ hồng,Full nội thất,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
* Em Long ở phòng kinh doanh CĐT HD Holding gửi tới anh chị giỏ hàng 20 căn hoa hậu đẹp nhất tại The Zei mỹ đình đang được hưởng chính sách mới cực kì tốt.+ Giỏ hàng gồm 20 căn 3PN, duplex, penthouse nhận nhà ở ngay sổ hồng trao tay với chính sách chưa từng có tại dự án. Hỗ trợ vay 0% miễn lãi và gốc 24 tháng, chiết khấu ngay 15.5%, Quà tặng tân gia tới 1,35 tỷ, tổng chiết khấu tới 21.5%.Chỉ áp dụng tới 30/11/2022.* Hotline: 0916 479 ***- Căn hộ 3PN diện tích từ 104m² - 107m² tất cả đều căn góc 2 ban công full ánh sáng tự nhiên.+ Thiết kế 3PN, 2WC.+ Giá bán từ: 5.6 tỷ.- Căn hộ duplex diện tích 185m² ưu điểm bàn giao thô có 2 hướng view chính view công viên hồ và view bắn pháo hoa sân vận động Mỹ Đình.+ Số lượng căn còn 8 căn từ tầng 26 - 38 khách hàng tùy chọn.+ Thiết kế thông tầng 4PN, 3WC.+ Giá bán từ 11.7 tỷ.- Căn hộ Penthouse diện tích 245m² hướng ban công ĐN mát mẻ quanh năm view Panorama siêu đẹp.+ Số Lượng căn còn 1 căn duy nhất.+ Thiết kế thông tầng 4PN + 1 Phòng Thờ, 1 Phòng giúp việc, 4WC.+ Giá bán: 18.5 tỷ.Thông tin chi tiết liên hệ: 0962 522 *** ",108 m²,5.35 tỷ,,,3 phòng,2 phòng,23/11/2022,03/12/2022,Tin Vip đặc biệt,35933406,batdongsan_com_vn_35933406,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Gia đình tôi có hiện đang có căn biệt thự song lập ở Vinhomes Green Bay. Do chuyển đổi nhu cầu sử dụng cần căn lớn hơn nên muốn bán lại.- Vị trí: Phân khu Thạch Thảo, Dự án Vinhomes Green Bay Mễ Trì - Nam Từ Liêm. - Diện tích 264m² Nhà xây 4 tầng 1 tầng hầm hoàn thiện đẹp, nội thất nhập khẩu Đông Dương, hầm đã làm phòng Karaoke, phòng giải trí, Nội thất sang xịn mịn chỉ việc kéo vali về ở- Mặt tiền rộng, đường trước nhà trục chính Khu đô thị- Khu vực an ninh, tiện ích tốt bậc nhất trong các khu biệt thự tại Hà Nội, rất phù hợp với gia đình có trẻ nhỏ. Là nơi lý tưởng cho sự phát triển của con trẻ.- Sổ đỏ chính chủ, thiện chí bán. Giá thỏa thuận 2 bên, thiện chí gia lộc cho khách mua.Liên hệ xem nhà Việt Anh: 0915 698 *** ",264 m²,Thỏa thuận,Đông - Bắc,,,,23/11/2022,03/12/2022,Tin Vip đặc biệt,33521903,batdongsan_com_vn_33521903,7.5 m,4 tầng,Sổ đỏ/ Sổ hồng.,Đầy đủ,10.5 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Villas']","
Chính chủ cần tiền bán biệt thự view hồ Vinhomes Green Villas - biệt thự đẳng cấp bậc nhất Hà Thành.- Diện tích hơn 300m², căn góc view hồ cảnh quan 2 mặt tiền rộng.- Đường vào trục chính dự án 25m², trục đường lớn nhất khu.- Nhà xây thô 3 tầng đã nâng tum, mang phong cách địa trung hải, 1 trong 98 căn thiết kế độc bản sang trọng. Nằm trong quần thể hồ điều hòa, công viên, để bơi bốn mùa, vườn Nhật.- Hướng view hồ phong thủy tốt mang lại tài vận cho gia chủ.Chuẩn bị thông đường nhưng do chủ nhà cần tiền làm ăn muốn bán lại cho khách hữu duyên.Sổ đỏ chính chủ thiện chí bán, có ra lộc cho khách thiện chí mua.Giá cả đàm phán làm việc trực tiếp.Liên hệ SĐT xem nhà: 0915 698 *** ",300 m²,Thỏa thuận,Đông - Nam,,,,23/11/2022,03/12/2022,Tin Vip đặc biệt,32578168,batdongsan_com_vn_32578168,12 m,3 tầng,Sổ đỏ/ Sổ hồng.,Không nội thất.,25 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Tổng hợp quỹ căn bán chuyển nhượng, giá tốt nhất Vinhomes Smart City.Quỹ căn chuyển nhượng chào bán tháng 11/2022:- Studio (24 - 35m²): 1.15 tỷ - 1.4 tỷ.- 1PN, 1PN + 1 (37 - 43m²): 1.65 tỷ - 1.9 tỷ.- 2PN (55m²): 2.05 tỷ - 2.35 tỷ.- 2PN + 1 (64m²): 2.5 tỷ - 2.9 tỷ.- 3PN (75m² - 80m² - 94m² - 97m²): 2.9 tỷ - 3.5 tỷ - 4 tỷ - 4.7 tỷ.Em bán dự án từ những ngày đầu đồng thời cũng là cư dân của Vinhomes Smart City nên sẽ tư vấn được cho anh chị rất rõ về ưu, nhược điểm của từng căn hộ và từng khu.Liên hệ em tư vấn chi tiết, cụ thể: 0933 722 *** - 0962 724 **** Note:+ Diện tích trên là DT thông thủy.+ Giá sẽ tùy vào từng căn và vị trí khu.+ Hỗ trợ xem nhà miễn phí 100%.+ Hỗ trợ quý anh chị cho đến khi hoàn tất thủ tục sang tên.Hotline: 0933 722 *** - 0962 724 *** ",64 m²,2.55 tỷ,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,21/11/2022,01/12/2022,Tin Vip đặc biệt,34271746,batdongsan_com_vn_34271746,,,Sổ đỏ/ Sổ hồng,,
