,price,area,Hướng,Phòng ăn,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Số lầu,Chổ để xe hơi,Số phòng ngủ,Chính chủ,city,district,ward,street
19,75000,45.0,None,0,3.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,4,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, Phố Đội cấn
20,75000,45.0,None,1,3.5,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, Phố Đội cấn
21,140000,58.0,None,0,4.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,6,0,8,0, Hà Nội, Quận Ba Đình, Phường Điện Biên, Đường Điện Biên Phủ
22,58000,36.0,Đông Nam,0,2.5,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,3,0, Hà Nội, Quận Ba Đình, Phường Đội Cấn, Đường Ngọc Hà
23,19800,21.0,None,1,1.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,3,1,2,0, Hà Nội, Quận Tây Hồ, Phường Quảng An, Đường Thụy Khuê
24,104000,85.0,None,0,6.0,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,1,0,None,0, Hà Nội, Quận Long Biên, Phường Bồ Đề, Phố Bồ Đề
25,107000,52.0,None,0,3.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,4,0,4,0, Hà Nội, Quận Ba Đình, Phường Nguyễn Trung Trực, Đường Phan Đình Phùng
26,450000,170.0,None,0,7.0,0,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,0,5,0,6,0, Hà Nội, Quận Ba Đình, Phường Nguyễn Trung Trực, Phố Cửa Bắc
27,68900,30.0,None,0,5.0,0,Nhà trong hẻm,None,0,3,0,2,0, Hà Nội, Quận Hoàn Kiếm, Phường Hàng Trống, Phố Quang Trung
28,425000,64.0,None,0,10.0,0,Nhà mặt tiền,None,0,2,0,1,0, Hà Nội, Quận Hoàn Kiếm, Phường Hàng Bồ, Phố Hàng Cá
29,30000,22.0,None,1,4.5,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,6,1,3,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, Phố Giang Văn Minh
30,130000,45.0,None,0,8.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,5,0,4,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, Đường Hồng Hà
31,243000,150.0,None,0,18.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,2,0,3,0, Hà Nội, Quận Long Biên, Phường Ngọc Lâm, Đường Nguyễn Sơn
32,330000,130.0,None,1,5.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,1,4,0, Hà Nội, Quận Hoàn Kiếm, Phường Hàng Mã, Phố Lý Nam Đế
33,168000,30.0,None,0,12.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,4,0,1,0, Hà Nội, Quận Hoàn Kiếm, Phường Hàng Mã, Phố Lý Nam Đế
34,80000,45.0,None,0,6.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,3,0, Hà Nội, Quận Ba Đình, Phường Phúc Xá, Phố Tân Ấp
35,69500,39.0,None,0,5.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,3,0, Hà Nội, Quận Long Biên, Phường Thạch Bàn, Đường Thạch Bàn
36,99000,55.0,None,0,5.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,4,0, Hà Nội, Quận Long Biên, Phường Bồ Đề, Phố Bồ Đề
37,149000,50.0,None,0,7.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,8,0,6,0, Hà Nội, Quận Đống Đa, Phường Trung Liệt, Phố Đặng Tiến Đông
38,51500,28.0,None,1,5.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,0,2,0, Hà Nội, Quận Hai Bà Trưng, Phường Thanh Lương, Phố Kim Ngưu
39,21500,17.0,None,1,2.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,0,3,0, Hà Nội, Quận Đống Đa, Phường Khâm Thiên, Phố Khâm Thiên
40,155000,53.0,None,1,4.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,7,1,4,0, Hà Nội, Quận Đống Đa, Phường Khương Thượng, Đường Tam Khương
41,27799,22.0,None,1,2.5,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,0,2,0, Hà Nội, Quận Hai Bà Trưng, Phường Đồng Tâm, Phố Vọng
42,179000,65.0,None,1,5.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,7,1,10,0, Hà Nội, Quận Thanh Xuân, Phường Khương Trung, Phố Hoàng Văn Thái
43,114000,50.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,6,0,6,0, Hà Nội, Quận Đống Đa, Phường Láng Hạ, Đường Yên Lãng
44,39000,34.0,None,1,2.5,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,0,4,0, Hà Nội, Quận Đống Đa, Phường Văn Chương, Phố Tôn Đức Thắng
45,260000,75.0,None,1,20.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,9,1,12,0, Hà Nội, Quận Thanh Xuân, Phường Khương Mai, Phố Lê Trọng Tấn
46,140000,110.0,None,0,5.0,0,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,0,8,0,32,0, Hà Nội, Quận Hai Bà Trưng, Phường Bạch Mai, Phố Bạch Mai
47,115000,100.0,None,0,5.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,7,0,24,0, Hà Nội, Quận Hai Bà Trưng, Phường Đồng Tâm, Phố Trần Đại Nghĩa
48,1250000,240.0,None,1,20.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,11,1,12,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, Phố Đội cấn
49,255000,80.0,None,1,20.0,1,Nhà mặt tiền,None,1,5,1,6,0, Hà Nội, Quận Thanh Xuân, Phường Khương Mai, Phố Lê Trọng Tấn
50,725000,335.0,None,1,30.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,4,1,6,0, Hà Nội, Quận Hà Đông, Phường Văn Quán, Đường 19 tháng 5
51,200000,130.0,None,1,10.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,5,1,8,0, Hà Nội, Quận Thanh Xuân, Phường Khương Đình, Phố Nguyễn Viết Xuân
52,260000,140.0,None,0,40.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,4,0,4,0, Hà Nội, Quận Hai Bà Trưng, Phường Minh Khai, Đường Minh Khai
53,190000,70.0,None,0,30.0,0,Nhà mặt tiền,None,0,4,0,6,0, Hà Nội, Quận Hai Bà Trưng, Phường Bạch Mai, Phố Bạch Mai
54,415000,106.0,None,1,24.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,3,1,5,0, Hà Nội, Quận Đống Đa, Phường Nam Đồng, Phố Mai Anh Tuấn
55,320000,89.0,None,0,5.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,9,0,18,0, Hà Nội, Quận Ba Đình, Phường Liễu Giai, Phố Liễu Giai
56,1700000,350.0,None,0,22.0,0,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,0,9,0,60,0, Hà Nội, Quận Cầu Giấy, Phường Dịch Vọng, Đường Cầu Giấy
57,80000,69.0,None,0,5.0,0,Nhà trong hẻm,None,0,4,0,3,0, Hà Nội, Quận Hai Bà Trưng, Địa điểm BĐ Phố Kim Ngưu,None
58,670000,160.0,None,0,7.0,0,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,0,5,0,5,0, Hà Nội, Quận Ba Đình, Phường Ngọc Khánh, Đường Kim Mã
59,140000,82.0,None,0,3.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,5,0,5,0, Hà Nội, Quận Ba Đình, Phường Liễu Giai, Phố Liễu Giai
60,480000,152.0,None,1,24.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,10,1,10,0, Hà Nội, Quận Thanh Xuân, Phường Khương Mai, Phố Hoàng Văn Thái
61,140000,55.0,None,0,5.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,4,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, Đường Đào Tấn
62,90000,40.0,None,0,3.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,6,0, Hà Nội, Quận Ba Đình, Phường Điện Biên, Phố Lê Hồng Phong
63,120000,30.0,None,0,18.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,6,0,4,0, Hà Nội, Quận Ba Đình, Phường Trúc Bạch, Phố Phó Đức Chính
64,250000,70.0,None,0,50.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,2,0,2,0, Hà Nội, Quận Ba Đình, Phường Liễu Giai, Phố Văn Cao
65,63000,37.0,None,0,5.0,0,Nhà trong hẻm,None,0,5,0,3,0, Hà Nội, Quận Hai Bà Trưng, Địa điểm BĐ Phố Kim Ngưu,None
66,750000,160.0,None,0,50.0,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,1,0,1,0, Hà Nội, Quận Ba Đình, Phường Liễu Giai, Đường Đào Tấn
67,160000,55.0,None,0,8.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,5,0,5,0, Hà Nội, Quận Ba Đình, Phường Ngọc Khánh, Đường Nguyễn Chí Thanh
68,120000,43.0,None,0,5.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,7,0,5,0, Hà Nội, Quận Ba Đình, Phường Ngọc Hà, Đường Ngọc Hà
69,700000,145.0,None,0,8.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,5,0,5,0, Hà Nội, Quận Ba Đình, Phường Ngọc Khánh, Phố Phạm Huy Thông
70,498000,105.0,None,0,20.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,9,0,5,0, Hà Nội, Quận Thanh Xuân, Phường Khương Đình, Phố Vũ Tông Phan
71,473000,195.0,None,0,50.0,0,Nhà mặt tiền,None,0,8,0,10,0, Hà Nội, Quận Đống Đa, Phường Ngã Tư Sở, Đường Trường Chinh
72,72000,60.0,None,1,5.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,3,1,4,0, Hà Nội, Quận Hoàn Kiếm, Phường Phúc Tân, Phố Hàm Tử Quan
73,85000,60.0,None,1,5.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Đống Đa, Phường Trung Liệt, Phố Tây Sơn
74,54500,44.0,None,1,5.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,3,1,3,0, Hà Nội, Huyện Thanh Trì, Xã Tân Triều, Đường Triều Khúc
75,59500,45.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,6,0, Hà Nội, Quận Thanh Xuân, Phường Thượng Đình, Đường Nguyễn Trãi
76,75000,55.0,None,1,6.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Thanh Xuân, Phường Hạ Đình, Đường Nguyễn Xiển
77,69000,50.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,4,0, Hà Nội, Quận Đống Đa, Phường Trung Liệt, Phố Tây Sơn
78,48000,42.0,None,1,4.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,5,0, Hà Nội, Quận Thanh Xuân, Phường Hạ Đình, Đường Nguyễn Xiển
79,105000,60.0,None,1,30.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,3,1,4,0, Hà Nội, Quận Thanh Xuân, Phường Thượng Đình, Đường Nguyễn Trãi
80,190000,72.0,None,1,7.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,7,0, Hà Nội, Quận Nam Từ Liêm, Phường Mỹ Đình 1, Đường Dương Khuê
81,35000,120.0,None,0,6.0,0,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,0,1,0,2,0, Hà Nội, Quận Hai Bà Trưng, Phường Bạch Mai, Phố Bùi Ngọc Dương
82,74000,48.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,3,0, Hà Nội, Quận Ba Đình, Phường Ngọc Khánh, Phố Phan Kế Bính
83,130000,80.0,None,1,4.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,6,0, Hà Nội, Quận Đống Đa, Phường Láng Hạ, Đường Yên Lãng
84,110000,45.0,None,0,6.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,8,0,6,0, Hà Nội, Quận Thanh Xuân, Phường Khương Trung, Phố Hoàng Văn Thái
85,11000,148.0,None,0,6.0,0,"Đất thổ cư, đất ở",None,0,None,0,None,0, Hà Nội, Huyện Chương Mỹ, Xã Thuỷ Xuân Tiên,None
86,43400,42.0,None,0,5.0,0,Nhà trong hẻm,None,0,4,0,4,0, Hà Nội, Quận Hoàng Mai, Phường Giáp Bát, Đường Trương Định
87,800,40.0,None,0,3.0,0,"Đất thổ cư, đất ở",None,0,None,0,None,0, Hà Nội, Huyện Mê Linh, Thị trấn Quang Minh, Đường Hà Phong
88,1330,70.0,None,0,4.0,0,"Đất thổ cư, đất ở",None,0,None,0,None,0, Hà Nội, Huyện Mê Linh, Xã Tiền Phong, Quốc lộ 23B
89,43900,33.0,None,0,2.5,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,5,0,3,0, Hà Nội, Quận Thanh Xuân, Phường Khương Đình, Đường Khương Đình
90,99000,60.0,None,0,6.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,3,0,3,0, Hà Nội, Quận Long Biên, Phường Bồ Đề, Đường Nguyễn Sơn
91,90000,42.0,None,0,5.0,0,Nhà trong hẻm,None,0,7,0,5,0, Hà Nội, Quận Cầu Giấy, Phường Nghĩa Đô, Phố Phùng Chí Kiên
92,27500,26.0,None,1,2.5,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,1,2,0, Hà Nội, Quận Cầu Giấy, Phường Mai Dịch, Phố Doãn Kế Thiện
93,210000,125.0,None,0,15.0,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,None,0,None,0, Hà Nội, Quận Long Biên, Phường Bồ Đề, Đường Lâm Hạ
94,160000,95.0,None,0,9.0,0,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,0,5,0,4,0, Hà Nội, Quận Hoàng Mai, Phường Định Công, Đường Trần Điền
95,135000,57.0,None,0,5.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,6,0,6,0, Hà Nội, Quận Long Biên, Phường Bồ Đề, Phố Bồ Đề
96,56000,80.0,None,0,5.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,3,0,3,0, Hà Nội, Quận Long Biên, Phường Ngọc Thụy, Đường Gia Thượng
97,68000,42.0,None,0,4.0,0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,0,6,0,6,0, Hà Nội, Quận Long Biên, Phường Thượng Thanh, Đường Thanh Am
98,190000,82.0,None,0,15.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,3,0,5,0, Hà Nội, Quận Long Biên, Phường Giang Biên, Đường Nguyễn Văn Hưởng
99,53500,35.0,None,1,10.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,3,0, Hà Nội, Quận Hai Bà Trưng, Phường Thanh Nhàn, Đường Thanh Nhàn
100,23800,80.0,None,0,None,0,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,0,15,0,2,0, Hà Nội, Quận Hoàng Mai, Phường Đại Kim, Đường Kim Giang
101,65000,38.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,6,1,4,0, Hà Nội, Quận Đống Đa, Phường Ngã Tư Sở, Phố Tây Sơn
102,22000,37.0,None,0,2.8,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,None,0,None,0, Hà Nội, Huyện Thanh Trì, Xã Tả Thanh Oai, Đường Tả Thanh Oai
103,230000,110.0,None,0,15.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,6,0,6,0, Hà Nội, Quận Long Biên, Phường Bồ Đề, Đường Hoàng Như Tiếp
104,85000,70.0,None,0,5.0,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,1,0,1,0, Hà Nội, Quận Long Biên, Phường Long Biên, Đường Tư Đình
105,136000,80.0,None,0,10.0,0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,0,5,0,5,0, Hà Nội, Quận Long Biên, Phường Phúc Lợi, Đường Phúc Lợi
106,210000,63.0,None,1,9.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,6,1,7,0, Hà Nội, Quận Đống Đa, Đường Hồ Văn Chương,None
107,15000,25.0,None,1,3.0,1,"Đất thổ cư, đất ở",None,1,3,1,3,0, Hà Nội, Quận Hai Bà Trưng, Phường Bạch Mai, Phố Bạch Mai
108,88000,45.0,None,1,10.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,6,1,4,0, Hà Nội, Quận Thanh Xuân, Phường Khương Trung, Phố Nguyễn Ngọc Nại
109,155000,65.0,None,1,12.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Thanh Xuân, Phường Thanh Xuân Trung, Đường Trường Chinh
110,78000,48.0,None,1,10.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,6,1,6,0, Hà Nội, Quận Đống Đa, Phường Trung Liệt, Đường Võ Văn Dũng
111,200000,70.0,None,1,7.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,9,1,17,0, Hà Nội, Quận Đống Đa, Phường Nam Đồng, Đường Nam Đồng
112,142500,55.0,None,1,10.0,1,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,1,6,1,17,0, Hà Nội, Quận Ba Đình, Phường Giảng Võ, Đường Giảng Võ
113,141000,45.0,None,1,15.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,2,1,2,0, Hà Nội, Quận Đống Đa, Phường Phương Liên, Đường Ô Chợ Dừa
114,255000,90.0,None,1,7.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,2,1,4,0, Hà Nội, Quận Đống Đa, Phường Ô Chợ Dừa, Đường Ô Chợ Dừa
115,580000,160.0,None,0,12.0,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,5,0,712,0, Hà Nội, Quận Ba Đình, Phường Kim Mã, Phố Vạn Bảo
116,99000,50.0,None,1,12.0,1,"Đất thổ cư, đất ở",None,0,7,1,11,0, Hà Nội, Quận Đống Đa, Phường Khâm Thiên, Đường Đê La Thành
117,420000,110.0,None,1,10.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,9,1,20,0, Hà Nội, Quận Đống Đa, Phường Láng Hạ, Phố Hoàng Cầu
118,152000,80.0,None,1,15.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,4,1,6,0, Hà Nội, Quận Đống Đa, Phường Láng Thượng, Đường Nguyễn Chí Thanh
119,66000,65.0,None,1,5.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,3,1,3,0, Hà Nội, Quận Ba Đình, Phường Liễu Giai, Đường Đào Tấn
120,500000,222.0,None,1,5.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,5,1,30,0, Hà Nội, Quận Cầu Giấy, Phường Yên Hòa, Đường Hoàng Đạo Thúy
121,260000,110.0,None,1,10.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,1,1,2,0, Hà Nội, Quận Ba Đình, Phường Giảng Võ, Đường Giảng Võ
122,1285000,150.0,None,1,6.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,3,1,5,0, Hà Nội, Quận Hoàn Kiếm, Phường Hàng Buồm, Phố Hàng Mắm
123,17000,30.0,None,1,3.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,5,1,3,0, Hà Nội, Quận Hai Bà Trưng, Phường Quỳnh Lôi, Phố Chùa Quỳnh
124,22500,30.0,None,1,3.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,5,1,3,0, Hà Nội, Quận Đống Đa, Phường Trung Liệt, Phố Thái Thịnh
125,330000,90.0,None,1,5.0,1,"Đất thổ cư, đất ở",None,1,8,1,8,0, Hà Nội, Quận Đống Đa, Phường Ngã Tư Sở, Đường Tây Sơn 2
126,73500,35.0,None,1,8.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,6,1,3,0, Hà Nội, Quận Ba Đình, Phường Liễu Giai, 6 Phố Kim Mã Thượng
127,45500,36.0,None,1,2.8,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,1,3,0, Hà Nội, Quận Ba Đình, Phường Đội Cấn, 26 Phố Đội cấn
128,91000,39.0,None,1,6.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,7,1,4,0, Hà Nội, Quận Ba Đình, Phường Cống Vị, 6 Đường Đào Tấn
129,80000,45.0,None,1,12.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,4,1,4,0, Hà Nội, Quận Hà Đông, Phường Quang Trung, Đường Quang Trung
130,39900,33.0,None,1,4.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,6,0, Hà Nội, Quận Thanh Xuân, Phường Nhân Chính, Phố Quan Nhân
131,64500,42.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,4,0, Hà Nội, Quận Thanh Xuân, Phường Khương Mai, Phố Tô Vĩnh Diện
132,68000,45.0,None,1,3.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,5,0,6,0, Hà Nội, Quận Thanh Xuân, Phường Nhân Chính, Đường Vũ Trọng Phụng
133,58000,36.0,None,1,6.0,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,4,1,4,0, Hà Nội, Quận Thanh Xuân, Phường Thanh Xuân Trung, Đường Nguyễn Trãi
134,95000,95.0,None,1,10.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,1,1,1,0, Hà Nội, Quận Hà Đông, Phường Dương Nội, Đường La Dương
135,22000,43.0,None,0,4.0,0,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,0,None,1,None,0, Hà Nội, Quận Nam Từ Liêm, Phường Tây Mỗ, Đường Cầu Cốc
136,27000,34.0,None,1,3.0,1,Nhà trong hẻm,None,1,5,1,3,0, Hà Nội, Quận Nam Từ Liêm, Phường Tây Mỗ, Đường Cầu Cốc
137,24000,43.0,None,1,3.5,1,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1,1,1,2,0, Hà Nội, Quận Nam Từ Liêm, Phường Tây Mỗ, Đường Tây Mỗ
