price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
 14 tỷ , 82 m, Phố Liễu Giai. Phường Liễu Giai. Quận Ba Đình. Hà Nội,9523748,_,---,Cần bán,3m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,5,---,---,5,---
 48 tỷ , 152 m, Phố Hoàng Văn Thái. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,11979719,_,,Cần bán,24m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"6,5m",10,,---,10,---
 14 tỷ , 55 m, Đường Đào Tấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,9067033,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,6m,5,---,---,4,---
 9 tỷ , 40 m, Phố Lê Hồng Phong. Phường Điện Biên. Quận Ba Đình. Hà Nội,10214925,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,---,6,---
 12 tỷ , 30 m, Phố Phó Đức Chính. Phường Trúc Bạch. Quận Ba Đình. Hà Nội,10812897,_,---,Cần bán,18m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,6,---,---,4,---
 25 tỷ , 70 m, Phố Văn Cao. Phường Liễu Giai. Quận Ba Đình. Hà Nội,10958390,_,---,Cần bán,50m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,---,2,---
 6.3 tỷ , 37 m, Địa điểm BĐ Phố Kim Ngưu. Quận Hai Bà Trưng. Hà Nội,12062436,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,---,5,---,---,3,---
 75 tỷ , 160 m, Đường Đào Tấn. Phường Liễu Giai. Quận Ba Đình. Hà Nội,11170339,_,---,Cần bán,50m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,7m,1,---,---,1,---
 16 tỷ , 55 m, Đường Nguyễn Chí Thanh. Phường Ngọc Khánh. Quận Ba Đình. Hà Nội,11230480,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,8m,5,---,---,5,---
 12 tỷ , 43 m, Đường Ngọc Hà. Phường Ngọc Hà. Quận Ba Đình. Hà Nội,11946942,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,7,---,---,5,---
 70 tỷ , 145 m, Phố Phạm Huy Thông. Phường Ngọc Khánh. Quận Ba Đình. Hà Nội,11942577,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,5,---,---,5,---
 49.8 tỷ , 105 m, Phố Vũ Tông Phan. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,12146066,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"7,8m",9,---,---,5,---
 47.3 tỷ , 195 m, Đường Trường Chinh. Phường Ngã Tư Sở. Quận Đống Đa. Hà Nội,12161013,_,---,Cần bán,50m,---,Nhà mặt tiền,---,---,"4,5m",8,---,---,10,---
 7.2 tỷ , 60 m, Phố Hàm Tử Quan. Phường Phúc Tân. Quận Hoàn Kiếm. Hà Nội,12180225,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,6m,3,,---,4,---
 8.5 tỷ , 60 m, Phố Tây Sơn. Phường Trung Liệt. Quận Đống Đa. Hà Nội,12180409,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",5,,---,4,---
 5.45 tỷ , 44 m, Đường Triều Khúc. Xã Tân Triều. Huyện Thanh Trì. Hà Nội,12178573,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,3m",3,,---,3,---
 5.95 tỷ , 45 m, Đường Nguyễn Trãi. Phường Thượng Đình. Quận Thanh Xuân. Hà Nội,12178494,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",5,---,---,6,---
 7.5 tỷ , 55 m, Đường Nguyễn Xiển. Phường Hạ Đình. Quận Thanh Xuân. Hà Nội,12182795,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,8m",5,,---,4,---
 6.9 tỷ , 50 m, Phố Tây Sơn. Phường Trung Liệt. Quận Đống Đa. Hà Nội,12181940,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",5,---,---,4,---
 4.8 tỷ , 42 m, Đường Nguyễn Xiển. Phường Hạ Đình. Quận Thanh Xuân. Hà Nội,12183241,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,6m",5,,---,5,---
 10.5 tỷ , 60 m, Đường Nguyễn Trãi. Phường Thượng Đình. Quận Thanh Xuân. Hà Nội,12183779,_,,Cần bán,30m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,8m",3,,---,4,---
 19 tỷ , 72 m, Đường Dương Khuê. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,12170839,_,,Cần bán,7m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,,---,7,---
 3.5 tỷ , 120 m, Phố Bùi Ngọc Dương. Phường Bạch Mai. Quận Hai Bà Trưng. Hà Nội,12183754,_,---,Cần bán,6m,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,"5,5m",1,---,---,2,---
 7.4 tỷ , 48 m, Phố Phan Kế Bính. Phường Ngọc Khánh. Quận Ba Đình. Hà Nội,12183744,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,2m",5,---,---,3,---
 13 tỷ , 80 m, Đường Yên Lãng. Phường Láng Hạ. Quận Đống Đa. Hà Nội,10598060,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"6,5m",5,,---,6,---
 11 tỷ , 45 m, Phố Hoàng Văn Thái. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,12183726,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,8,---,---,6,---
 1.1 tỷ , 148 m, Xã Thuỷ Xuân Tiên. Huyện Chương Mỹ. Hà Nội,12183715,_,---,Cần bán,6m,---,"Đất thổ cư, đất ở",---,---,---,---,---,6m,---,---
 4.34 tỷ , 42 m, Đường Trương Định. Phường Giáp Bát. Quận Hoàng Mai. Hà Nội,12178030,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,4m,4,---,11m,4,---
 800 triệu , 40 m, Đường Hà Phong. Thị trấn Quang Minh. Huyện Mê Linh. Hà Nội,11728722,_,---,Cần bán,3m,---,"Đất thổ cư, đất ở",---,---,---,---,---,---,---,---
 19 triệu / m, 70 m, Quốc lộ 23B. Xã Tiền Phong. Huyện Mê Linh. Hà Nội,11755395,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",---,---,---,---,---,---,---,---
 4.39 tỷ , 33 m, Đường Khương Đình. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,12168031,_,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",5,---,---,3,---
 9.9 tỷ , 60 m, Đường Nguyễn Sơn. Phường Bồ Đề. Quận Long Biên. Hà Nội,12078726,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,6m",3,---,---,3,---
 9 tỷ , 42 m, Phố Phùng Chí Kiên. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11795781,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,"3,5m",7,---,---,5,---
 2.75 tỷ , 26 m, Phố Doãn Kế Thiện. Phường Mai Dịch. Quận Cầu Giấy. Hà Nội,12188622,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,4,,7m,2,---
 21 tỷ , 125 m, Đường Lâm Hạ. Phường Bồ Đề. Quận Long Biên. Hà Nội,12075407,_,---,Cần bán,15m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,---,---,---
 16 tỷ , 95 m, Đường Trần Điền. Phường Định Công. Quận Hoàng Mai. Hà Nội,11950766,_,---,Cần bán,9m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,5,---,---,4,---
 13.5 tỷ , 57 m, Phố Bồ Đề. Phường Bồ Đề. Quận Long Biên. Hà Nội,12059414,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,1m",6,---,---,6,---
 5.6 tỷ , 80 m, Đường Gia Thượng. Phường Ngọc Thụy. Quận Long Biên. Hà Nội,12057199,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,3,---,---,3,---
 6.8 tỷ , 42 m, Đường Thanh Am. Phường Thượng Thanh. Quận Long Biên. Hà Nội,12056504,_,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,6,---,---,6,---
 19 tỷ , 82 m, Đường Nguyễn Văn Hưởng. Phường Giang Biên. Quận Long Biên. Hà Nội,12051257,_,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,17m,3,---,---,5,---
 5.35 tỷ , 35 m, Đường Thanh Nhàn. Phường Thanh Nhàn. Quận Hai Bà Trưng. Hà Nội,12188619,_,,Cần bán,10m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,6m",5,---,10m,3,---
 2.38 tỷ , 80 m, Đường Kim Giang. Phường Đại Kim. Quận Hoàng Mai. Hà Nội,11969236,_,---,Cần bán,---,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,---,15,---,---,2,---
 6.5 tỷ , 38 m, Phố Tây Sơn. Phường Ngã Tư Sở. Quận Đống Đa. Hà Nội,12188617,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,5m",6,,---,4,---
 2.2 tỷ , 37 m, Đường Tả Thanh Oai. Xã Tả Thanh Oai. Huyện Thanh Trì. Hà Nội,12183693,_,---,Cần bán,"2,8m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
 23 tỷ , 110 m, Đường Hoàng Như Tiếp. Phường Bồ Đề. Quận Long Biên. Hà Nội,12028733,_,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,6,---,---,6,---
 8.5 tỷ , 70 m, Đường Tư Đình. Phường Long Biên. Quận Long Biên. Hà Nội,12027689,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,5m",1,---,---,1,---
 13.6 tỷ , 80 m, Đường Phúc Lợi. Phường Phúc Lợi. Quận Long Biên. Hà Nội,12023636,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,5,---,---,5,---
 21 tỷ , 63 m, Đường Hồ Văn Chương. Quận Đống Đa. Hà Nội,8720936,_,,Cần bán,9m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,5m,6,,---,7,---
 1.5 tỷ , 25 m, Phố Bạch Mai. Phường Bạch Mai. Quận Hai Bà Trưng. Hà Nội,8724381,_,,Cần bán,3m,,"Đất thổ cư, đất ở",---,,3m,3,,---,3,---
 8.8 tỷ , 45 m, Phố Nguyễn Ngọc Nại. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,8724630,_,,Cần bán,10m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,"3,5m",6,,---,4,---
 15.5 tỷ , 65 m, Đường Trường Chinh. Phường Thanh Xuân Trung. Quận Thanh Xuân. Hà Nội,8725892,_,,Cần bán,12m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,10m,5,,---,4,---
 7.8 tỷ , 48 m, Đường Võ Văn Dũng. Phường Trung Liệt. Quận Đống Đa. Hà Nội,8670392,_,,Cần bán,10m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,5m,6,,---,6,---
 20 tỷ , 70 m, Đường Nam Đồng. Phường Nam Đồng. Quận Đống Đa. Hà Nội,8670533,_,,Cần bán,7m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,5m,9,,---,17,---
 14.25 tỷ , 55 m, Đường Giảng Võ. Phường Giảng Võ. Quận Ba Đình. Hà Nội,8670841,_,,Cần bán,10m,,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,,5m,6,,---,17,---
 14.1 tỷ , 45 m, Đường Ô Chợ Dừa. Phường Phương Liên. Quận Đống Đa. Hà Nội,8671253,_,,Cần bán,15m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,4m,2,,---,2,---
