Title,Price,Area,Address,Gen_descrip,Loại hình,Ngày đăng,Ngày hết hạn,Loại tin,ID tin,Số phòng ngủ,Kệ TV,Tủ trang trí,Bàn ghế P.khách,Bình nóng lạnh,Bồn tắm,Vòi hoa sen,Bồn cầu,Bồn rửa mặt,Tình trạng pháp lý,Đường vào,Mặt tiền,Hướng nhà,Số tầng,Nội thất,Máy hút mùi,Tủ bếp,Bàn ăn,Giường ngủ,Bàn phấn,Tủ quần áo,Hướng ban công,Căn góc,Chiều sâu,Đã bao gồm thuế?,Chính chủ hay không?,Sofa phòng khách,Bàn trà,Đệm,Trần thả
"Cần bán gấp nhà shr 5 tầng, 35 m2, mặt tiền 4m tại Đường Nghĩa Lộ - Hà Đông, giá 2.6 tỷ","
2,6
Tỷ ","
35
m2
","['Hà Nội', 'Quận Hà Đông', 'Bán Nhà riêng tại Đường Nghĩa Lộ']","
Nhà 5 tầng x 35 mét vuông, bìa đỏ cầm tay, có sân chơi riêng rộng rãi. Vị trí: Đi bộ 7p tới trường Phenika.Cách tàu siêu tốc Cát Linh - Bx Yên Nghĩa 800m, đường chính oto tải tránh nhau ngay cổng nhà cách nhà 10m.Giá 2,6 tỉ có thỏa thuận, đã bao phí và sổ.- Hướng: hướng Tây Nam.- DT: 35 mét vuông.- MT: 4m.- Nhà mới thiết kế hiện đại, DT rộng, giá đã bao gồm nội thất gồm tay cầu thang, tủ bếp và bàn bếp, cửa thông phòng, cửa chính cửa cuốn và cửa phụ, thiết kế gồm:+ Tầng 1:  p.khách + bếp +  toilet.+ Tầng 2: 1 PN master, 1 vệ sinh.+ Tầng 3: 2 PN, 1 vệ sinh.+ Tầng 4: 2 PN, 1 vệ sinh.+ Tầng 5: Phòng thờ, sân phơi.* Tiện ích: Cách chợ 100m, hàng quán tiện ích đầy đủ xung quanh nhà.Cách điểm xe buýt, ga tàu siêu tốc trên cao Cát Linh 500m, Bến xe Yên Nghĩa 500m.Đi lại tiện lợi dễ dàng.* Giá: 2,6 tỉ (Có thỏa thuận) đã bao phí sổ.* Hỗ trợ trả góp với LS ưu đãi đến 75 phần trăm. LH e Phương.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bán nhà riêng 4 tầng quận Thanh Xuân - Hà Nội,"
Thỏa thuận
","
20,6
m2
","['Hà Nội', 'Quận Thanh Xuân', 'Bán Nhà riêng tại Phố Cự Lộc']","
Bán nhà 4 tầng tại phố Cự Lộc.Diện tích 20.6m2, có sổ đỏ sang tên ngay.Nhà nằm trong khu yên tĩnh, đi lại thuận tiện, gần Royal City, đường thông ra Vũ Trọng Phụng, Quan Nhân.Giá bán: 2.8 tỷ.Sổ đỏ sẵn sàng chờ công chứng
",Nhà riêng, 25/11/2022,23/12/2022,Bán,2041380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sở hữu nhà riêng 6 tầng, 30 m2 tại Đường Lĩnh Nam - Lĩnh Nam - Hoàng Mai - Hà Nội, giá 3.8 tỷ","
3,8
Tỷ ","
30
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Bán Nhà riêng tại Đường Lĩnh Nam']","
Nam Dư DT 30m2 xây 6 tầng chào 3.8 tỉ.Nhà mặt ngõ oto đỗ cửa, cách phố vài mét.Nhà dân xây 6 tầng mới đẹp chủ mới ở vài năm vẫn còn mới nguyên.Thiết kế hiện đại mỗi tầng 1 phòng.Nhà mặt ngõ vừa ở vừa KD.Nhà gần chợ, gần trường .Khu vực an ninh đảm bảo giao thông thuận lợi.Chính chủ ở có lộc mua đc nhà to hơn nên bán.Pháp lí sạch bìa đỏ chính chủ, chủ thiện trí bán.    
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuyển nhượng nhà shr 5 tầng, 34 m2, mặt tiền 4m tại Đường Đại Từ - Hoàng Mai, giá 4.15 tỷ","
4,15
Tỷ ","
34
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Bán Nhà riêng tại Đường Đại Từ']","
10m ra oto tránh - ngõ thông rộng - nhà cực chất - nội thất đẹp.+ Nhà Đại Từ DT 34 mét vuông x 5 tầng, MT 4m.+ Nhà nằm ở vị trí rất đẹp, vài bước ra oto tránh, đường ngõ trước nhà thông rộng đi đc các ngả, đi đâu cũng tiện. Tiện ích xung quanh thì bạt ngàn.+ Nhà chủ tự xây thiết kế vô cùng tâm huyết, nội thất cực kỳ xịn sò miễn bàn để lại hết cho người mua.- Bìa đỏ chính chủ sẵn giao dịch.Liên hệ ngay Hiền: (Zalo nhiều nhà đẹp - giá hạt dẻ).  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bán nhà đẹp 6 tầng, 50 m2 tại Đường Kim Đồng - Giáp Bát - Hoàng Mai - Hà Nội, giá 10 tỷ","
10
Tỷ ","
50
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Bán Nhà riêng tại Đường Kim Đồng']","
+ Nhà đẹp hiếm mặt ngõ Kim Đồng, thuận tiện di chuyển tới các phố Trương Định, Giải Phóng, Thịnh Liệt, Giáp Bát, Tân Mai.+ 5 ph đến các trường đại học lớn của thủ đô: Bách Khoa, Kinh Tế, Xây Dựng.+ Oto đỗ cửa, tiện KD, làm văn phòng. Thiết kế tỉ mỉ, hiện đại, mỗi tầng 1 phòng thoáng sáng tuyệt vời.+ Bìa đỏ đẹp vuông đét sẵn sàng.+ Khu dân trí cao, hàng xóm thân thiện, an ninh tốt.Gọi ngay em Quỳnh.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cần bán ngay căn nhà riêng 3 tầng, 30 m2, mặt tiền 3m tại Đường Tây Trà - Hoàng Mai, giá 2.72 tỷ","
2,72
Tỷ ","
30
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Bán Nhà riêng tại Đường Tây Trà']","
Bán nhà Tây Trà, ngõ to rộng, nhà dân xây, cư dân đông đúc - 30 mét vuông, 3 phòng ngủ - Giá 2.7 tỉ.- Gia đình chị Oanh chính chủ tính tình hiền lành, ngôi nhà gắn bó với vợ chồng anh/chị cả chục năm nay với bao thăng trầm từ thủa mới lập nghiệp. Nay gia đình anh/chị có điều kiện đổi nhà to hơn nên bán đi.- Nhà tuy cũ nhưng anh/chị tự xây rất tâm huyết và còn rất chắc chắn. Rất phù hợp với anh/chị có tài chính thời điểm này hơi eo hẹp 1 chút, Nhà đầy đủ công năng, chỉ cần sơn lại 1 lớp là như mới.- Nhà nằm trên phố Tây Trà, P. Lĩnh Nam, phố lớn tại Q. Hoàng Mai, gần Chợ đêm Lĩnh Nam, gần nhiều trường đại học lớn: đại học KD công nghệ, đại học kỹ thuật công nghiệp, tiện ích xung quanh không thiếu thứ gì.- DT 30 mét vuông, xây 3 tầng 1 tum rất chắc chắn,- Giá chào: 2,72 tỉ (có thỏa thuận và gia lộc với khách có thiện chí).- Bìa đỏ sẵn sàng giao dịch.Hotline: Nhất Thanh để xem nhà free.   
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bán nhà phố Tân Mai, DT: 45m2 x 5T, Lô Góc Ngõ ô tô, ngõ thông gần phố, giá 4.8 tỷ","
4,8
Tỷ ","
45
m2
","['Hà Nội', 'Quận Hoàng Mai', 'Bán Nhà riêng tại Đường Tân Mai']","
Bán ngôi nhà phố Tân Mai, DT: 45m2 x 5T, Lô Góc Ngõ oto, ngõ thông gần phố, giá 4.8 tỉ.Mô tả:- Cần bán ngôi nhà phố Tân Mai, trung tâm Q. Hoàng Mai vị trí đẹp thông các phố Trương Định - Nguyễn Chính - Giáp Nhị - Kim Đồng - Giải phóng... Gần bến xe Giáp Bát, nhà 5 tầng lô góc DT 45m2 rộng rãi vừa ở vừa KD nhỏ đc.- Bìa đỏ chính chủ sang tên ngay.Liên hệ.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cần bán nhanh nhà shr 8 tầng, 93 m2, mặt tiền 7m tại Đường Trần Hưng Đạo - Hoàn Kiếm, giá 25.5 tỷ","
25,5
Tỷ ","
93
m2
","['Hà Nội', 'Quận Hoàn Kiếm', 'Bán Nhà riêng tại Đường Trần Hưng Đạo']","
* BÁN NHÀ TRẦN HƯNG ĐẠO - HOÀN KIẾM - DT 93M X 8 TẦNG - MT7,5M - 25,5 tỉ- Nhà mặt ngõ Trần Hưng Đạo cách 3 bước chân ra đến đường, ngõ oto tránh đỗ cửa , xung quanh mọi tiện ích tiện lợi gần các phố chính giao thương, các tòa nhà VP, các trụ sở cơ quan ban ngành...- Nhà đang làm KS cho thuê với dòng tiền hàng tháng 200 tr/tháng, xây 8 tầng thang máy với toàn bộ thiết kế đời mới, nội thất sang xịn. Thích hợp kênh đầu tư, giữ tiền...- Thiết kế hiện đại: DT sổ = 93M X 8 tầng, MT = 7,5M.+ Tầng 1: Sảnh, lễ tân, gian bếp.+ Tầng 2: 1 phòng, một căn hộ 2 phòng.+ Tàng 3,4,5,6,7: mỗi tầng 3 phòng.+ Tầng 8: 1 phòng, một căn hộ 2 phòng.- Bìa đỏ chính chủ sẵn giao dịch, pháp lí sạch, chủ có thiện chí bán nên rất nhiệt tình.* Giá chào: 25,5 tỉ (có thỏa thuận).* Hotline xem nhà ngay: ĐOÀN MẠNH / (Nhà Đẹp thành phố Hà Nội).Free xem nhà và tư vấn.  
",Nhà riêng, 25/11/2022,25/12/2022,Bán,2041351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuyển công tác, chính chủ nhượng lỗ, căn hộ 3 phòng ngủ chung cư MHD Trung Văn - 29 Tố Hữu","
Thỏa thuận
","
106
m2
",['Bán Căn hộ chung cư  MHD Trung Văn'],"
 Do chuyển công tác, chính chủ nhượng lỗ, xuất mua căn hộ tầng 12 - CH02 3 ngủ CC MHD - Trung Văn 29 Tố Hữu, đã cất nóc, giá rẻ nhất VBB, ký HĐMB trực tiếp Căn hộ T12  thoáng mát, hướng Tây Nam, 106m2, 3 phòng ngủ rộng thoáng, 2WC.Dự án đã cất nóc, nhận nhà tháng 6/2023.Toàn quyền sáng tạo nội thất không gian căn hộ theo phong cách riêng độc đáo của chủ nhânVị trí nằm ngay gần ngã tư Lê Văn Lương - Tố Hữu, có hầm chui, giao thông cực thuận tiện. Thế đất vượng khí - thịnh vượng.Rất gần trường học liên cấp quốc tế Olympia và các trường công lập khácTiện ích khu chung cư đẳng cấp 5*, trải nghiệm cuốc sống thượng lưu, TTTM, khu văn phòng đều vận hành theo tiêu chuẩn hiện đại nhất, đặc biệt với hàng rào an ninh tuyệt đốiĐược NH bảo trợ với mức vay tối đa lên tới 70% GTCH, nhận gói quà tặng nội thất 200-250trĐặc biệt được tặng voucher lên tới 3% trong thời điểm này.Giá rẻ nhất VBB, đảm bảo chư từng có - báo giá trực tiếp - Miễn tiếp môi giới.
",Căn hộ, 25/11/2022,23/12/2022,Bán,1966326,3.0,,,,,,,,,Sổ đỏ,,,Tây-Nam,12.0,,,,,,,,Tây-Bắc,,,,,,,,
"Bán nhà đẹp Bồ Đề - Long Biên, 53m2, 5 tầng, ô tô con vào nhà, ngõ thông, giá 7.7 tỷ","
Thỏa thuận
","
53
m2
","['Hà Nội', 'Quận Long Biên', 'Bán Nhà riêng tại Đường Bồ Đề']","
Bán nhà đẹp Bồ Đề - Long Biên, 53m2, 5 tầng, ô tô con vào nhà, ngõ thông, giá 7.7 tỷ+ Trước nhà ngõ ô tô con vào nhà thoải mái, thông ra phố Hồng Tiến .+ Nhà xây KBT cực chắc chắn, chủ ở giữ gìn còn rất đẹp, chỉ việc ở ngay, không cần sửa sang gì.+ Thiết kế cơ bản, hợp lý. Cuối nhà có giếng trời thông tầng nên các phòng rất thoáng và sáng.Tầng 1: Để xe + Bếp ăn + WCTầng 2: 1 phòng ngủ + phòng khách + WCTầng 3,4: 4 phòng ngủ + WCTầng 5: Phòng thờ + Sân phơi+ Khu dân trí cao, hàng xóm thân thiện xung quanh.+ Sổ đỏ vuông vắn trước sau như một, chính chủ.
",Nhà riêng, 25/11/2022,23/12/2022,Bán,2041344,4.0,,,,,,,,,,10m,"3,5m",,5.0,Đầy đủ,,,,,,,,,,,,,,,
"Chuyển nhượng nhà biệt thự liền lề 6 tầng, 69 m2, giá 26.5 tỷ tại Long Biên - Hà Nội","
26,5
Tỷ ","
69
m2
","['Hà Nội', 'Quận Long Biên', 'liền kề tại Phường Việt Hưng', 'Bán Nhà biệt thự']","
Chính chủ cần vốn làm ăn bán ngay toà nhà văn phòng 6 tầng trong khu đấu giá Tầm Dâu, Việt Hưng+ DT 96m2+ MT bằng hậu rộng 6m vuông đẹp+ Tây Bắc+ Đường đôi trước nhà rộng 30m có vỉa hè+ Giá 26.5 tỉ (Mua bán thỏa thuận trực tiếp với chính chủ)+ Toà nhà văn phòng đc thiết kế xây dựng rất chắc chắn và hiện đại, xung quanh hàng xóm KD buôn bán cũng như mở văn phòng công ty rất nhiều, nằm tại vị trí đắc địa đối diện là hồ điều hoà, gần đường Vũ Đức Thận, đường Việt Hưng, ngay sau trung tâm thương mại BigC Long Biên, QL 5A, siêu thị, nhà hàng, coffee, NH, khu vui chơi và rất nhiều các loại hình dịch vụ lớn nhỏ khác,...+ Bìa đỏ chính chủ - Sẵn sàng sang tên+ Không tranh chấp - Không cầm cốLH xem nhà 24/24  
","Nhà biệt thự, liền kề", 25/11/2022,25/12/2022,Bán,2041336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cần bán ngay căn chung cư A10 Nam Trung Yên, 2 phòng ngủ, 53 m2, giá 2.35 tỷ tại Cầu Giấy","
2,35
Tỷ ","
53
m2
",['Bán Căn hộ chung cư  A10 Nam Trung Yên'],"
Bán nhanh căn hộ chung cư A14A1 khu đô thị Nam Trung Yên, 53m2, 2 phòng ngủ, Lô góc, nội thất đầy đủ, chỉ 2.35 tỉ.- Vị trí: Tòa nhà nằm ngay Đường Nguyễn Chánh, Yên Hoà, Cầu Giấy. Đối diện là Viện Kiểm Toán, gần trường học, gần chợ, đi lại thuận tiện... Công viên cây xanh khu vui chơi có đủ, đang là nơi tập trung cư dân sinh sống và phát triển.- Thiết kế: Các phòng đều có cửa sổ. Đảm bảo tối đa ánh sáng và thông gió tự nhiên, không gian mở rất rộng rãi, thông thoáng và tiện lợi sử dụng.- Tiện ích: Không gian sống lý tưởng, tiện ích ngập tràn, không thiếu thứ gì.- Pháp lí: bìa đỏ chính chủ, sẵn sàng giao dịch.- Giá: 2.35 tỉ (Cam đoan giá mềm nhất thị trường).
",Căn hộ, 25/11/2022,25/12/2022,Bán,2041334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
