,Price,Address,Area,Direction,Facade,Building Line,Floors,Bedrooms,Toilets,Details,Publish Time,Type,ID,District
3695,9200,"Đường Văn Cao, Liễu Giai, Ba Đình",40.0,None,4.0,6.0,5,3,3,"Chủ nhà bán nhà chia tài sản cho con cháu cần bán nhà mặt ngõ số lẻ thông rộng đẹp nhất phố Văn Cao, Ba Đình. - Vị trí trung tâm cực kì đắc địa, gần trụ sở UBND quận Ba Đình an ninh siêu tốt. Vài phút ra Hồ Tây, Lotte Center, TTTM Vincom Metropolis Liễu Giai.  - Đường ô tô tránh, 2 mặt thoáng vĩnh viễn, mặt tiền rộng, phù hợpkinh doanh văn phòng, quán ăn, căn hộ dịch vụ. - Nhà xây 5 tầng, khung cột bê tông chắc chắn, có thể chuyển về ở luôn hoặc xây sửa có thể lên thêm tầng thoải mái. - Sổ đỏ cất két, pháp lý đảm bảo, không tranh chấp khiếu kiện, sẵn sàng giao dịch. +++Liên hệ Mr Hiếu 0382.603.113 để được tư vấn xem nhà và hỗ trợ miễn phí.+++--------- Mr Hiếu – Tinh hoa Nhà đất (Tâm – Tầm – Tín)Tư vấn Đầu tư, Mua bán, Định giá BĐS chuyên nghiệp tại Hà Nội.",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790682.602197,Ba Đình
3698,2450,"Đường Hoàng Hoa Thám, Đội Cấn, Ba Đình",32.0,None,3.0,1.0,4,4,3,"Mô tả chi tiết NHÀ ĐẸP Ở LUÔN – NGAY CỔNG NHÀ MÁY BIA - NGÕ XÓM ĐOÀN KẾT – AN NINH TỐT.  + Nhà rất gần phố, ngay cổng nhà máy bia Hà Nội, chiều đi làm về ra uống bia tươi sướng đời.  + Ngõ thông sang ngõ 285 Đội Cấn, ra Lăng Bác, Bách Thảo chỉ 5 phút.  + Vẫn còn mới, khung cột chắc chắn, ở luôn, thiết kế xây dựng cơ bản gồm:  - Tầng 1: Phòng khách + bếp + để xe + WC.  - Tầng 2: có 1 ngủ rộng + WC.  - Tầng 3: có 2 ngủ nhỏ + WC.  - Tầng 4: có 1 ngủ rộng + sân phơi.  + Pháp lý: Làm công chứng vi bằng tại Thừa Phát Lại, hồ sơ kỹ thuật thửa đất, biên lai đóng thuế đất...  + Gia đình nhiều người ở cũng phù hợp, tài chính vừa PHẢI. + LIÊN HỆ MR YÊN ĐỂ BIẾT THÊM THÔNG TIN. ",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790687.1759615,Ba Đình
3701,10500,"Đường Xa La, Phúc La, Hà Đông",50.0,None,4.0,16.0,5,4,4,"PHÂN LÔ, VÀI Ô TÔ TRÁNH - TRỤC CHÍNH KĐT - KINH DOANH ĐỈNH - VIEW SÂN TENIS - NGAY CHỢ XA LA - NHÀ ĐẸP KHÔNG TỲ VẾT - VỈA HÈ 5M + Chính chủ bán nhà tại KĐT Xa La, Hà Đông. + Diện tích: 50m, Nhà 5 tầng, Mặt tiền 4.2m. + Giá chào để bán: 10.5 tỷ + Nhà vị trí cực đẹp nằm trên trục đường to chạy thẳng từ khu dịch vụ sang khu đô thị Xa La, đường trước nhà 3 ô tô tránh, dừng đỗ ngày đêm trước nhà, vỉa hè rộng mênh mông. Nhà để ở, làm văn phòng công hoặc kinh doanh thì tuyệt vời ngay chợ Xa La. + Khu vực trung tâm Hà Đông tiện ích bạt ngàn gần bệnh viện 103, viện K, HV Quân Y, trường học các cấp, TTTM, chợ, giao thông cực thuận các ngả. + Nhà 5 tầng còn mới nguyên khách mua chỉ việc về sử dụng, thiết kế hiện đại, khách xem là ưng. - Tầng 1: Thông sàn kinh doanh, hoặc gara 2 ô tô, wc. - Tầng 2: Phòng khách, bếp, wc. - Tầng 3, 4: Mỗi tầng 2 phòng, wc. - Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ chính chủ, vuông đẹp. + Liên hệ xem nhà: 0902.083.139  Miễn phí xem nhà – Nguồn nhà phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24 ",03/11/2022,Tin thường,batdongsan_so_com_vn_1673790691.790617,Hà Đông
3702,7300,"Đường Lãng Yên, Bạch Đằng, Hai Bà Trưng",42.0,None,4.0,5.0,5,3,4,Bán nhà phân lô Lãng Yên - Quận Hai Bà Trưng - Ô tô đỗ cửa.42m2 x 5 tầng. 7.3 tỷ có thương lượng.Cam kết ảnh thật đúng nhà - đúng thông tin - không thu bất kỳ phí gì cả kể giao dịch thành công.Mr Lâm: 0868324583. Ngoài ra em Lâm còn rất nhiều các ngôi nhà các phân khúc trong khu vực cần bán. Liên hệ để được tư vấn và xem nhà miễn phí.Sổ đỏ chính chủ - pháp lý chuẩn.Miễn tiếp trung gian môi giới.,02/11/2022,Tin thường,batdongsan_so_com_vn_1673790693.6516385,Hai Bà Trưng
3705,19000,"Đường Thụy Khuê, Thụy Khuê, Tây Hồ",90.0,None,6.0,20.0,5,6,3,"- Nhà thuộc mặt phố Thuỵ Khuêgần Lạc Long Quân, Bưởi, Trích Sài, … ô tô đua nhau, thông ra Hồ Tây lộng gió,…  - Khu vực phát triển bậc nhất Tây Hồ Tây, 1 phút ra Hồ Tây lộng gió, 3p ra Cầu Giấy và chỉ 15p ra Sân Bay, giao thông vô cùng thuận tiện  - Nhà mặt phố kinh doanh đa dạng các mặt hàng sầm uất, khách Tây nhiều như khách ta, buôn bán hái ra tiền.  - DT rộng 90m thiết kế hiện đại, ô thang máy sẵn, nội thất nhập khẩu, nhà dân xây chắc, 3 thế hệ ở vẫn vừa ở vừa kinh doanh, cho thuê vô tư.-Chủ nhà thành đạt, con cái giỏi giang ở rất có lộc! Chủ bán gấp chuyển Biệt thự lớn! Giá chốt linh động cho khách thiện chí!  - Giá: 19 tỷ thương lượng Lh ngay Mrs. Ngân chuyên nhà mặt phố   ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790700.9532392,Tây Hồ
3706,16300,"Đường Thụy Khuê, Thụy Khuê, Tây Hồ",80.0,None,6.0,20.0,5,6,3,"- Nhà thuộc mặt phố Thuỵ Khuêgần Lạc Long Quân, Bưởi, Trích Sài, … ô tô đua nhau, thông ra Hồ Tây lộng gió,…  - Khu vực phát triển bậc nhất Tây Hồ Tây, 1 phút ra Hồ Tây lộng gió, 3p ra Cầu Giấy và chỉ 15p ra Sân Bay, giao thông vô cùng thuận tiện  - Nhà mặt phố kinh doanh đa dạng các mặt hàng sầm uất, khách Tây nhiều như khách ta, buôn bán hái ra tiền.  - DT rộng 80m thiết kế hiện đại, ô thang máy sẵn, nội thất nhập khẩu, nhà dân xây chắc, 3 thế hệ ở vẫn vừa ở vừa kinh doanh, cho thuê vô tư.-Chủ nhà thành đạt, con cái giỏi giang ở rất có lộc! Chủ bán gấp chuyển Biệt thự lớn! Giá chốt linh động cho khách thiện chí!  - Giá: 16.3 tỷ thương lượng Lh ngay Mrs. Ngân chuyên nhà mặt phố   ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790702.3684454,Tây Hồ
3710,11300,"Đường Thụy Khuê, Thụy Khuê, Tây Hồ",60.0,None,5.0,20.0,5,6,3,"- Nhà thuộc mặt phố Thuỵ Khuêgần Lạc Long Quân, Bưởi, Trích Sài, … ô tô đua nhau, thông ra Hồ Tây lộng gió,…  - Khu vực phát triển bậc nhất Tây Hồ Tây, 1 phút ra Hồ Tây lộng gió, 3p ra Cầu Giấy và chỉ 15p ra Sân Bay, giao thông vô cùng thuận tiện  - Nhà mặt phố kinh doanh đa dạng các mặt hàng sầm uất, khách Tây nhiều như khách ta, buôn bán hái ra tiền.  - DT rộng 60m thiết kế hiện đại, ô thang máy sẵn, nội thất nhập khẩu, nhà dân xây chắc, 3 thế hệ ở vẫn vừa ở vừa kinh doanh, cho thuê vô tư.-Chủ nhà thành đạt, con cái giỏi giang ở rất có lộc! Chủ bán gấp chuyển Biệt thự lớn! Giá chốt linh động cho khách thiện chí!  - Giá: 11.3 tỷ thương lượng Lh ngay Mrs. Ngân chuyên nhà mặt phố   ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790735.6143246,Tây Hồ
3711,4300,"Đường La Khê, La Khê, Hà Đông",42.0,None,4.0,3.0,4,4,3,"
    
+ NHÀ MỚI ĐÓN TẾT _E NHÀ 2 MẶT THOÁNG _ĐẸP LONG LANH_ OTO CÁCH NHÀ 50m.
+NGÕ THÔNG THOÁNG SÁNG VÔ CÙNG_AN SINH CỰC ĐỈNH.
+TIỆN ÍCH xung quanh ngập tràn_5 phút ra TỐ HỮU_LÊ VĂN LƯƠNG_Lê Trọng Tấn.....
     (  100% thông tin nhà và ảnh là THẬT nói K với tin ẢO )
+ Sổ ĐỎ  phân lô, vuông vắn.
+ Thiên chí mua Alo E.
",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790737.002612,Hà Đông
3714,5500,"Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm",51.0,None,4.0,4.0,4,4,4,"Cần bán gấp nhà khu ngoại giao đoàn, ô tô cách 10 mét, 2 thoáng, nhà đẹp, an sinh đỉnhDiện tích 51 mét xây 4 tầng, Nhà mới với thiết kế hiện đại, ngõ rộng thoáng, vài bước ra ngoại giao đoàn, xung quanh rất nhiều trường học lớn nhỏ, rất tiện lợi cho khách hàng muốn cho con học gần nhàThiết kế tổng 4 ngủ đầy đủ công năngSổ đỏ chính chủ, sẵn sàng giao dịchMua nhà liên hệ e Thiên Thư 0916293888",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790744.262767,Bắc Từ Liêm
3717,4300,"Đường Thượng Thanh, Thượng Thanh, Long Biên",53.0,None,5.0,2.0,4,4,3,"LÔ GÓC – NGÕ THÔNG KHẮP NGẢ - NHÀ ĐẸP  – 53M2 – 4 TẦNG – 4 NGỦ - Vị trí rất đẹp, chỉ cách vài bước chân là ra Ô tô tránh.Lợi thế lô góc nên phòng nào cũng có cửa sổ, cực kỳ sáng thoáng. Mặt tiền rộng.Tiện ích xung quanh nhiều vô kể, từ mầm non đến cấp 3 THPT Lý Thường Kiệt, Bãi đỗ xe cách nhà vài chục mét, Chợ Thượng Cát chỉ cách 5 phút đi bộ.Xem nhà - Liên hệ Mrs. Hương.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790748.3827446,Long Biên
3730,6300,"Đường Láng, Láng Hạ, Đống Đa",75.0,None,4.0,2.0,5,4,4,"
    Nhà đẹp ngõ 1194 Láng 75m2 5 tầng. Cách ô tô 70m. Ngõ thông, rộng. Ở ngay. Giá 6.3 tỷ. 
Vị trí: Ngõ 1194 Láng thông ra phố Chùa Láng. Khu vực đông dân cư, an ninh tốt. Tiện ích xung quanh nhiều. Gần bãi để xe ô tô, gần cáctrường Đại học Giao thông vận tải, Ngoại thương, Ngoại giao, Luật.... Chùa Láng thông các tuyến phố Nguyễn Chí Thanh, Láng, Pháo Đài Láng.
Nhà mới đẹp, xây khung cột chắc chắn. Thiết kế đẹp, hiện đại, đầy đủ công năng, các phòng nhiều cửa sổ, nhiều ánh sáng.
Sổ đỏ sẵn sàng giao dịch.
LH: Ngọc Duyên
",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790792.228768,Đống Đa
3732,10900,"Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy",63.0,None,6.0,2.0,7,12,12,"Mô tả:+ Ngõ 199 Hồ Tùng Mậu ngõ ô tô, kinh doanh sầm uất thông sang Nguyễn Đổng Chi, Hàm Nghi. + Nhà vị trí đẹp xe ba gác vào tận cửa, ngõ thoáng sạch sẽ, dân trí an ninh tốt. Khách mua về ở ngay hoặc cho thuê rất hợp lý.+ Khu vực dân cư đông đúc tiện ích bạt ngàn gần nhiều trường đại học, bệnh viện, TTTM, gần chợ ngay đầu ngõ, khách mua ở cực sướng.+ Nhà 7 tầng thang máy nhập khẩu, nội thất sang xịn mịn, tổng 12 phòng. Các phòng đều có cửa sổ thoáng. Chủ nhà đang cho thuê full 12 phòng, mỗi phòng 6 triệu/tháng. Tổng doanh thu 72triệu/tháng.Thiết kế:- Tầng 1. Phòng khách, để xe, 1PN vệ sinh khép kín.- Tầng 2,3,4,5,6: Mỗi tầng 2 phòng ngủ. Mỗi phòng đều có 1WC, 1 bếp, 1 chỗ phơi đồ. - Tầng 7: 1 phòng thờ, 1 phòng ngủ, 1WC, bếp, sân phơi.Chủ để lại toàn bộ nội thất y hình cho khách mua.+ Sổ đỏ chính chủ sẵn sàng giao dịch ngay.+Nhanh tay liên hệ Mr Huy
",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790795.2127843,Cầu Giấy
3735,20000,"Đường Lạc Long Quân, Quảng An, Tây Hồ",120.0,None,7.0,50.0,5,6,6,"-Vị trí quá khu đông sinh viên và người đi làm bậc nhất của Cầu Giấy gần Nguyễn Văn Huyên, Trần Quốc Hoàn, Xuân Thuỷ,… -Diện tích 101m, thiết kế 23 phòng hiện đại full nội thất như khách sạn cho thuê đỉnh cao, khách thuê chỉ việc xách vali về ở,… -Gần các trường ĐH: ĐHQG HN, ĐHSPHN, HVBCTT lớn rất đông sinh viên và người đi làm. -Doanh thu khủng 125tr/ tháng, 10 năm nhân đôi giá trị bất động sản và giá trịnhà đất tăng dần theo thờigian. Dòng tiền cực kỳ ổn định! -Khu vực phát triển sầm uất, gần trung tâm thương mại, văn phòng , đông sinh viên và người đi làm khách thuê đông như kiến không bao giờ bị trống phòng. -Chủ nhà thành đạt nhiều nhà bán bớt, giá chốt linh động cho khách thiện chí! LH Mrs. Ngân chuyên nhàdòng tiền, Văn phòng  ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790799.1821754,Tây Hồ
3738,10500,"Đường Lý Thường Kiệt, Quang Trung, Hà Đông",50.0,None,5.0,15.0,6,4,5,"HIẾM !!! PHỐ LÝ THƯỜNG KIỆT HÀ ĐÔNG - NHÀ MỚI TINH - KINH DOANH SẦM UẤT NHẤT KHU - ĐƯỜNG OTO TRÁNH- 50M2 - 6 TẦNG - MẶT TIỀN 5M - CHỈ 10.5 TỶ (CÓ TL) - Nhà mặt Phố Lý Thường Kiệt, mặt sau phố Quang Trung, sát cạnh UBND Quận Hà Đông, siêu thị Metro Hà Đông, đường rộng thoáng ô tô tránh giao thông thuận tiện, kinh doanh sầm uất. Thiết kế: - Nhà xây dựng 5 tầng 1 tum, kết cấu bê tông chắc chắn thiết kế đầy đủ công năng, full nội thất xịn sò, đầy đủ tiện nghi. Diện tích sổ đỏ 50m2, mặt tiền = hậu vuông trước sau 5m: + Tầng 1: thông sàn kinh doanh + WC+ Tầng 2: PK + Bếp + WC+ Tầng 3+4: mỗi tầng 2 PN + WC+ Tầng 5: PN + Phòng thờ + sân phơi + Tầng 6: Vườn hoa cây cảnh + Tum chống nóng  - Sổ đỏ đẹp, vuông Vắn, pháp lý rõ ràng sẵn sàng giao dịch.- Những nhà vị trí đẹp, hàng hiếm như này thường chỉ 3-5 ngày là bán mất, rất nhanh. Quý khách quan tâm liên hệ ngay 0961831835 - 0916558388 để được sở hữu.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790803.2502923,Hà Đông
3739,25900,"Đường Trần Hưng Đạo, Trần Hưng Đạo, Hoàn Kiếm",98.0,None,8.0,6.0,8,20,20,"TRẦN HƯNG ĐẠO - HOÀN KIẾM – TÒA APARTMENT 8 TẦNG THANG MÁY – ĐƯỜNG Ô TÔ – SÁT PHỐ - 20 PHÒNG ĐẸP – DÒNG TIỀN KHỦNG – GIÁ ĐẦU TƯ. - HOÀNG HƯNG - 0916.113.179 – BÁN NHÀ BẰNG SỰ TỬ TẾ. + Vị trí ĐẸP, vài bước chân ra mặt phố Trần Hưng Đạo,khu vực nhu cầu thuê Căn hộ của Khách Nước Ngoài cực cao, các tòa nhà luôn trong tình trạng KÍN PHÒNG phục vụ Khách Du Lịch nước ngoài, vài bước chân ra Hồ Hoàn Kiếm, phố đi bộ... + Tòa nhà 8 tầng Thang máy, thiết kế bởi Kiến trúc sư nổi tiếng, hợp lý từng mét đất, tổng 20 Phòng Khép kín, phù hợp mua Kinh doanh thu dòng tiền Hàng tháng, chủ đang cho người quen thuê giá hữu nghị xấp xỉ 100 triệu/tháng.  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  + Giá bán: 25.9 tỷ ( có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí. - Hoàng Hưng 0916.113.179 – BÁN NHÀ BẰNG SỰ TỬ TẾ.  - Chuyên Nhà đất Hoàn Kiếm, Ba Đình, Tây Hồ.“CHỈ CẦN QUÝ KHÁCH CÓ NHU CẦU _ VIỆC CÒN LẠI HÃY ĐỂ CHÚNG TÔI”",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790804.9158373,Hoàn Kiếm
3742,5200,"Đường Trung Phụng, Thổ Quan, Đống Đa",48.0,None,3.0,2.0,5,4,4,"CC cần bán nhà Phố Trung Phụng, Đống Đa, nhà   thoáng, sáng,  2 phút ra  Công viên Thống nhất, ra ga Hà Nội , diện tích 48 m2, mặt tiền 3.6 m, nhà 5 tầng., chủ tự xây cức chắc chắn.Nhà Trung tâm quận Đống Đa, 20 m ra ô tô đỗ, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện.Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ.Sổ đỏ đẹp, sẵn sàng giao dịch Giá thoả thuậnLiên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790809.6472054,Đống Đa
3745,5300,"Đường Hồng Tiến, Thượng Thanh, Long Biên",52.0,None,6.0,2.0,5,3,3,"CẦN BÁN GẤP NHÀ HỒNG TIẾN - CHỦ TỰXÂY - 4 THOÁNG VĨNH VIỄN- 10M Ô TÔ TRÁNH - NGÕ THÔNG - TẶNG HẾT NỘI THẤT - Nhà chủ mua đất tự xây, nội thất đẹp, 4 thoáng vĩnh viễn, 10m ô tô tránh - Vị trí cực đẹp, thông ra phố Nguyễn Văn Cừ, Hoàng Như Tiếp, Cổ Linh, 5 phút sang phố cổ  - Gần trường quốc tế Wellsping, bệnh viện Tâm Anh, vườn hoa, khu chung cư Hc golden... - Mô Tả: Tầng 1. Khách bếp Tầng 2,3,4 mỗi tầng 1 ngủ khép kín  Tầng 5. Phòng thờ, sân thoáng.  - Sổ chính chủ, thửa vuông vắn LH Mr Tuyên_ThôcưLongBiên -0828555899 để đặt lịch xem miễn phí.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790817.6928055,Long Biên
3749,5300,"Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy",45.0,None,4.0,1.0,6,4,5,"
    + Nhà nằm khu vực trung tâm 1 ngoặt 30m ra phố, trước nhà ba gác đua, ngõ thông tứ tung+ Khu vực đông đúc sầm uất, kinh doanh cực tốt, hiện chủ nhà vẫn đang kinh doanh tạp hóa+ Nhà nằm vị trí gần các trường Đh lớn như ĐH thương mại, ĐH QG, ĐH ngoại ngữ...+ Nhà dân xây tâm huyết, thiết kế hiện đại:- Tầng 1: phòng khách, bếp, wc.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, wc.- Tầng 5: phòng thờ, sân phơi.Sổ đỏ chính chủ sẵn sàng giao dịch",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790857.57742,Cầu Giấy
3751,2200,"Đường Bắc Sơn, Đông Sơn, Chương Mỹ",43.0, Đông,5.0,5.0,4,3,4,"+ Tại trung tâm thị trấn Chúc Sơn, khu vực sầm uất nhất Chương Mỹ,… + Giao thông thuận tiện, hạ tầng đầy đủ, cuối năm 2022 sẽ mở rộng Quốc lộ 6.  + Bán kính 500m đầy đủ các tiện ích: Chợ, trường mầm non, tiểu học, Trung học, trạm y tế, sân vận động, hồ điều hòa,… + Cách trung tâm Hà Đông 7km, cáchbến xe Yên Nghĩa 4km. -Diện tích: 43m2 x 4 tầng, 3 PN, 3 Wc. -T1: gara ô tô. -T2: bếp, phòng khách, wc. -T3: 2 PN, wc. -T4: PN, phòng thờ, sân phơi.  + Sổ đỏ chuẩn, pháp lý sạch. LH Mr Duy 0868131386 để xem nhà. ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790860.897538,Chương Mỹ
3754,759,"Đường Trịnh Văn Bô, Xuân Phương, Nam Từ Liêm",1.0,None,1.0,1.0,1,1,1,"
    Kia Seltos 1.4 Premium 2022 - 759 triệuXe có sẵn Giá bán: 759 triệu  Giá lăn bánh: 872.4 triệuLưu tin Khuyến mại từ người bánKia Seltos mẫu SUV đang được yêu thích nhất hiện nay..- Thiết kế trẻ trung, năng động, ngoại hình thể thao, mạnh mẽ và đầy lôi cuốn........- Nội thất tiện nghi, đầy đủ các tính năng an toàn, hiện đại (chức năng sấy/làm mát ghế lái, tính năng chống chói gương chiếu hậu.. Vv. Vv.....- Đa dạng về màu sắc (có thể chọn 2 tông màu) và phiên bản giúp bạn thoải mái lựa chọn theo phong cách riêng của mình....Nhanh tay đặt xe sớm để nhận những ưu đãi và quà tặng trong tháng 11 này.....Zalo: 0981510783.Địa chỉ: Số 1, Trịnh Văn Bô, Xuân Phương, Nam Từ Liêm, Hà Nội.
",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790866.2193022,Nam Từ Liêm
3756,5100,"Đường Xã Đàn , Trung Liệt, Đống Đa",46.0,None,3.0,2.0,5,5,4,"CC cần bán nhà Phố Xã Đàn, Đống Đa, nhà   thoáng, sáng,  2 phút ra  Công viên Thống nhất, , diện tích 46 m2, mặt tiền 3.5 m, nhà 5 tầng., chủ tự xây rất kiên cố.Nhà Trung tâm quận Đống Đa, 20 m ra ô tô đỗ, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện.Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ.Sổ đỏ đẹp, sẵn sàng giao dịch Giá thoả thuậnLiên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790869.2860959,Đống Đa
3758,3350,"Đường Ngọc Thụy, Ngọc Thụy, Long Biên",35.0,None,4.0,3.0,4,3,3,"+ Nhà cách ô tô thông 5m, ô tô 7 chỗ thông sang Ao Lão ngay trước cửa Trường Pháp.+ Tiện ích: chợ Ngọc Thuỵ, hàng xóm Khai Sơn, trường quốc tế Việt Pháp, trường học các cấp 1,2 Ngọc Thụy, cầu Long Biên, Cầu Đông Trù.+ Nhà thiết kế 4 tầng, cầu thang giữa, mỗi tầng 2 phòng, nhà mới xây vài tháng, đầy đủ nội thất, chỉ việc xách vali về ở.+ Sổ đỏ chính chủ, giá 3.6 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790871.805366,Long Biên
3759,1 ngàn VNĐ,"Đường Trịnh Văn Bô, Phương Canh, Nam Từ Liêm",1.0,None,1.0,1.0,1,1,1,"
    🔥THE NEW K3 🔥 Sẵn xe giao ngay 🔥Liên hệ ngay - nhận xe sớm - hỗ trợ giá tốt nhất và tư vấn hỗ trợ : Phạm Thương : 0964776862 - 0946516862———————————————————————🔶 KIA K3 1.6 MT Deluxe: 🔶 KIA K3 1.6 AT Luxury: 🔶 KIA K3 1.6 AT Premium: 🔥KIA K3 2.0 AT Premium: ———————————————————————👉Logo nhận diện mới 👉Màu sắc mới 👉Màn hình giải trí mới👉Đề nổ từ xa thông minh👉Trang bị thêm nhiều tính năng an toàn mới, tiện nghi mới.✔️ ✔️ ✔️ Hứa hẹn sẽ mang đến cho quý khách những những lựa chọn tối ưu nhất .Hỗ trợ trả góp lên đến 80% giá trị xe, thủ tục đơn giản, lãi suất cực thấp.———————————————————————****** KIA Mỹ Đình ****** 🏨 Địa chỉ: Số 1, Trịnh Văn Bô, Phương Canh, Nam Từ Liêm, Hà Nội☎ Hotline: Phạm Thương  0964776862#KIA #K3
",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790873.4729047,Nam Từ Liêm
3760,3000,"Đường Thượng Thanh, Thượng Thanh, Long Biên",33.0,None,4.0,3.0,5,4,4,"Bán nhà Thượng Thanh, Dt 33m, nhà 5 Tầng, giá nhỉnh 3 tỷ. LÔ GÓC NGÕ RỘNG THOÁNG - NHÀ ĐẸP LONG LANH – CHỌN LUÔN NỘI THẤT – GIÁ TỐT NHẤT – + Thượng Thanh khu vực đang phát triển từng ngày, quy hoạch ổn định, đông đúc dân cư, xung quanh tiện ích ngập tràn, nhà đang hoàn thiện khoảng 10 hôm nữa là vào ở được luôn. Vị trí lô góc, thoáng, sáng thiết kế đẹp, vệ sinh không chung phòng ngủ. - Tầng 1: Phòng khách + Bếp. - Tầng 2,3,4: Mỗi tầng 1 ngủ.  - Tầng 5: Phòng thờ + Sân phơi.  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch. LH: Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2240/1174/0240 #Thuongthanh",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790875.1105251,Long Biên
3764,2050,"Đường Nguyễn An Ninh, Tương Mai, Hoàng Mai",120.0,None,3.0,2.0,3,3,2,"Siêu Hiếm, nhà tập thể Trương Định thuộc phường Tương Mai, quận Hoàng Mai, Hà Nội. Nhà nằm trên ngõ thông, khu vực VIP, tiện ích bạt ngàn không thiếu thứ gì mà giá chỉ có 2,05 tỷ thực sự là quá hiếm. Nhà thiết kế rất khéo léo tinh thế gồm 1 khách 3 ngủ, bếp và sân phơi trồng cây thoáng sáng mát mẻ. Hàng xóm xung quanh hiền lành, yên tĩnh. gần các trường Đại học lớn như Bách Khoa, Xây Dựng, Kinh tế Quốc dân, các bệnh viện lớn như Bạch Mai, Việt Pháp, Da liễu... Sổ đỏ tập thể chính chủ.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790880.9239724,Hoàng Mai
3767,3350,"Đường Ngọc Thụy, Ngọc Thụy, Long Biên",45.0,None,9.0,3.0,1,2,1,"+ Vị trí đắc địa, ngõ rộng, thông qua Ngọc Lâm, tương lai ô tô 4 chỗ vào nhà, khu dân trí cao. + Gần nhiều tiện ích, chợ Ngọc Thụy, công viên, Hàng xóm Khai Sơn, trường quốc tế Việt Pháp, trường học các cấp 1,2 Ngọc Thụy, cầu Long Biên. Cầu Đông Trù. Sang phố cổ 5 phút đi xe máy+ Nhà lô góc mặt tiền cực rộng hơn 9m, đang cho thuê dòng tiền.+ Sổ đỏ chính chủ, giá 3.35 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790888.541832,Long Biên
